Date,DII,FII,Pro,Change in OI in DII,Change in OI in FII,Change in OI in Pro,Closing price of the nifty,Closing price of the Bank nifty
02-05-2023,16767,3466,-666,0,0,0,18147.65,43352.1
03-May-23,19749,-12491,2958,2982,-15957,3624,18089.85,43312.7
04-May-23,19488,-8110,-1854,-261,4381,-4812,18255.8,43685.45
05-May-23,23579,-15787,-3263,4091,-7677,-1409,18069,42661.2
08-May-23,10779,-2450,3092,-12800,13337,6355,18264.4,43284
09-May-23,8504,-7694,13341,-2275,-5244,10249,18265.95,43198.15
10-May-23,10469,-4183,6287,1965,3511,-7054,18315.1,43331.05
11-May-23,7381,-10999,568,-3088,-6816,-5719,18297,43475.3
12-May-23,6522,-14439,-6,-859,-3440,-574,18314.8,43793.55
15-May-23,-69,-392,4664,-6591,14047,4670,18398.85,44072.1
16-May-2023,3731.0,-4328.0,235.0,3800.0,-3936.0,-4429.0,18276.75,43856.0
17-May-2023,10198.0,-10484.0,-9181.0,6467.0,-6156.0,-9416.0,18181.75,43698.7
