Date,DII,FII,Pro,Change in OI in DII,Change in OI in FII,Change in OI in Pro,Closing price of the nifty,Closing price of the Bank nifty
02-05-2023,-20497,-68750,81252,0,0,0,18147.65,43352.1
03-May-23,-20497,-59429,64885,0,9321,-16367,18089.85,43312.7
04-May-23,-20559,-53299,89617,-62,6130,24732,18255.8,43685.45
05-May-23,-21257,-146644,-380071,-698,-93345,-469688,18069,42661.2
08-May-23,-25689,-41861,64018,-4432,104783,444089,18264.4,43284
09-May-23,-25689,-92274,-139071,0,-50413,-203089,18265.95,43198.15
10-May-23,-52733,-29872,134628,-27044,62402,273699,18315.1,43331.05
11-May-23,-72683,-25331,49613,-19950,4541,-85015,18297,43475.3
12-May-23,-72683,29734,204586,0,55065,154973,18314.8,43793.55
15-May-23,-73583,50738,324976,-900,21004,120390,18398.85,44072.1
16-May-2023,-73583.0,-29586.0,-121340.0,0.0,-80324.0,-446316.0,18276.75,43856.0
17-May-2023,-97553.0,-138417.0,-198083.0,-23970.0,-108831.0,-76743.0,18181.75,43698.7
