Date,Time,open,high,low,close,EMA 9,Recorded EMA9,Delta,EMA 21,Recorded EMA 21,DELTA,EMA 50,Recorded EMA 50,DELTA,EMA 200,Recorded EMA 200,DELTA,,0.2
31-07-2023,09:15,297.5,297.5,292,292,,,,,,,,,,,,,,0.090909091
31-07-2023,09:16,292,292,285.4,285.45,,,,,,,,,,,,,,0.039215686
31-07-2023,09:17,283,285.45,276.8,277,,,,,,,,,,,,,,0.009950249
31-07-2023,09:18,277,284.05,277,281.35,,,,,,,,,,,,,,
31-07-2023,09:19,281.35,281.35,281.35,281.35,,,,,,,,,,,,,,
31-07-2023,09:20,281.35,281.35,281.35,281.35,,,,,,,,,,,,,,
31-07-2023,09:21,281.35,281.35,272,272.45,,,,,,,,,,,,,,
31-07-2023,09:22,272.45,272.45,270.35,270.5,,,,,,,,,,,,,,
31-07-2023,09:23,270.5,272.4,269.95,271,279.1611111,,,,,,,,,,,,,
31-07-2023,09:24,271,271,271,271,277.5288889,,,,,,,,,,,,,
31-07-2023,09:25,271,282.8,271,282.8,278.5831111,,,,,,,,,,,,,
31-07-2023,09:26,282.8,286.45,282.8,285.95,280.0564889,,,,,,,,,,,,,
31-07-2023,09:27,285.95,287,285.95,287,281.4451911,,,,,,,,,,,,,
31-07-2023,09:28,287,287,287,287,282.5561529,,,,,,,,,,,,,
31-07-2023,09:29,288.2,288.2,288.2,288.2,283.6849223,,,,,,,,,,,,,
31-07-2023,09:30,288.2,288.2,288.2,288.2,284.5879378,,,,,,,,,,,,,
31-07-2023,09:31,288.2,288.2,285.3,285.3,284.7303503,,,,,,,,,,,,,
31-07-2023,09:32,285.3,292.75,285.3,292.75,286.3342802,,,,,,,,,,,,,
31-07-2023,09:33,292.75,294.25,292.75,294.25,287.9174242,,,,,,,,,,,,,
31-07-2023,09:34,294.25,294.9,294.25,294.9,289.3139393,,,,,,,,,,,,,
31-07-2023,09:35,294.9,294.9,294.9,294.9,290.4311515,,,284.0333333,,,,,,,,,,
31-07-2023,09:36,294.9,294.9,294.9,294.9,291.3249212,,,285.0212111,,,,,,,,,,
31-07-2023,09:37,294.9,294.9,294.9,294.9,292.0399369,,,285.919282,,,,,,,,,,
31-07-2023,09:38,294.9,294.9,294.9,294.9,292.6119496,,,286.73571,,,,,,,,,,
31-07-2023,09:39,294.9,294.9,292.25,293,292.6895596,,,287.3051904,,,,,,,,,,
31-07-2023,09:40,293,293,293,293,292.7516477,,,287.8228998,,,,,,,,,,
31-07-2023,09:41,293,298.3,293,298.3,293.8613182,,,288.7753625,,,,,,,,,,
31-07-2023,09:42,298.3,298.3,298.3,298.3,294.7490545,,,289.6412378,,,,,,,,,,
31-07-2023,09:43,298.3,298.3,292.9,292.9,294.3792436,,,289.9374886,,,,,,,,,,
31-07-2023,09:44,292.9,292.9,292.9,292.9,294.0833949,,,290.2068076,,,,,,,,,,
31-07-2023,09:45,292.9,292.9,290,290,293.2667159,,,290.1880069,,,,,,,,,,
31-07-2023,09:46,290,290,290,290,292.6133727,,,290.1709154,,,,,,,,,,
31-07-2023,09:47,290,290,290,290,292.0906982,,,290.1553776,,,,,,,,,,
31-07-2023,09:48,290,294.35,290,294.25,292.5225586,,,290.5276157,,,,,,,,,,
31-07-2023,09:49,294.25,294.25,294.25,294.25,292.8680468,,,290.8660139,,,,,,,,,,
31-07-2023,09:50,294.25,308.25,294.25,303.95,295.0844375,,,292.055466,,,,,,,,,,
31-07-2023,09:51,303.95,306.4,303.95,304.45,296.95755,,,293.1822407,,,,,,,,,,
31-07-2023,09:52,304.45,304.45,304.45,304.45,298.45604,,,294.2065814,,,,,,,,,,
31-07-2023,09:53,304.45,307,304.2,307,300.164832,,,295.3696183,,,,,,,,,,
31-07-2023,09:54,307,307,304,304,300.9318656,,,296.1541977,,,,,,,,,,
31-07-2023,09:55,304,304,304,304,301.5454925,,,296.8674517,,,,,,,,,,
31-07-2023,09:56,304,304,304,304,302.036394,,,297.5158645,,,,,,,,,,
31-07-2023,09:57,304,304,304,304,302.4291152,,,298.1053308,,,,,,,,,,
31-07-2023,09:58,304,304,304,304,302.7432921,,,298.6412093,,,,,,,,,,
31-07-2023,09:59,304,304,301.6,304,302.9946337,,,299.1283716,,,,,,,,,,
31-07-2023,10:00,304,307.7,304,307.7,303.935707,,,299.9076098,,,,,,,,,,
31-07-2023,10:01,307.7,312.4,307.7,312.35,305.6185656,,,301.038735,,,,,,,,,,
31-07-2023,10:02,312.35,312.35,310.95,310.95,306.6848525,,,301.9397582,,,,,,,,,,
31-07-2023,10:03,310.95,311.4,310.95,311.4,307.627882,,,302.7997793,,,,,,,,,,
31-07-2023,10:04,311.4,311.4,311.4,311.4,308.3823056,,,303.5816168,,,293.479,,,,,,,
31-07-2023,10:05,311.4,315.5,311.4,315.5,309.8058445,,,304.6651051,,,294.3425755,,,,,,,
31-07-2023,10:06,315.5,315.5,315.35,315.35,310.9146756,,,305.6364582,,,295.1664027,,,,,,,
31-07-2023,10:07,315.35,315.35,315.35,315.35,311.8017405,,,306.5195066,,,295.9579226,,,,,,,
31-07-2023,10:08,315.35,315.35,315.35,315.35,312.5113924,,,307.3222779,,,296.7184024,,,,,,,
31-07-2023,10:09,315.35,315.35,315.35,315.35,313.0791139,,,308.0520701,,,297.4490591,,,,,,,
31-07-2023,10:10,315.35,315.35,313.65,313.65,313.1932911,,,308.5609723,,,298.0843952,,,,,,,
31-07-2023,10:11,313.65,313.65,313.65,313.65,313.2846329,,,309.0236107,,,298.6948159,,,,,,,
31-07-2023,10:12,313.65,316,313.65,316,313.8277063,,,309.6578273,,,299.373456,,,,,,,
31-07-2023,10:13,316,316,316,316,314.262165,,,310.2343879,,,300.0254826,,,,,,,
31-07-2023,10:14,316,316,314.5,314.5,314.309732,,,310.6221704,,,300.5931153,,,,,,,
31-07-2023,10:15,314.5,317.3,314.5,317.3,314.9077856,,,311.2292452,,,301.2482925,,,,,,,
31-07-2023,10:16,317.3,317.3,317.3,317.3,315.3862285,,,311.7811315,,,301.8777762,,,,,,,
31-07-2023,10:17,317.3,317.3,315.9,315.9,315.4889828,,,312.1555737,,,302.4276717,,,,,,,
31-07-2023,10:18,315.9,315.9,315.9,315.9,315.5711862,,,312.4959757,,,302.9560026,,,,,,,
31-07-2023,10:19,315.9,315.9,314.65,314.65,315.386949,,,312.6917959,,,303.4145944,,,,,,,
31-07-2023,10:20,314.65,316.05,314.65,316.05,315.5195592,,,312.9970869,,,303.9101044,,,,,,,
31-07-2023,10:21,316.05,316.05,313.5,313.5,315.1156474,,,313.0428062,,,304.2861818,,,,,,,
31-07-2023,10:22,313.5,321,313.5,321,316.2925179,,,313.7661868,,,304.9416309,,,,,,,
31-07-2023,10:23,321,321,321,321,317.2340143,,,314.4238055,,,305.5713759,,,,,,,
31-07-2023,10:24,321,321,317.3,317.3,317.2472114,,,314.6852775,,,306.0313256,,,,,,,
31-07-2023,10:25,317.3,317.9,317.3,317.9,317.3777692,,,314.9775247,,,306.4967675,,,,,,,
31-07-2023,10:26,317.9,317.9,317.9,317.9,317.4822153,,,315.243204,,,306.9439567,,,,,,,
31-07-2023,10:27,317.9,317.9,317.9,317.9,317.5657723,,,315.4847306,,,307.3736089,,,,,,,
31-07-2023,10:28,317.9,318.15,317.9,318.15,317.6826178,,,315.7270276,,,307.7962159,,,,,,,
31-07-2023,10:29,318.15,318.75,318.15,318.55,317.8560942,,,315.9836612,,,308.2179363,,,,,,,
31-07-2023,10:30,318.55,318.55,318.55,318.55,317.9948754,,,316.2169645,,,308.6231185,,,,,,,
31-07-2023,10:31,318.55,318.55,311.7,311.7,316.7359003,,,315.8063318,,,308.7437815,,,,,,,
31-07-2023,10:32,311.7,311.7,311.7,311.7,315.7287203,,,315.4330293,,,308.8597125,,,,,,,
31-07-2023,10:33,311.7,311.7,311.7,311.7,314.9229762,,,315.0936633,,,308.9710972,,,,,,,
31-07-2023,10:34,311.7,311.7,311.7,311.7,314.278381,,,314.7851488,,,309.0781139,,,,,,,
31-07-2023,10:35,311.7,311.7,311.7,311.7,313.7627048,,,314.504681,,,309.1809338,,,,,,,
31-07-2023,10:36,311.7,311.7,311.25,311.25,313.2601638,,,314.2088012,,,309.2620743,,,,,,,
31-07-2023,10:37,311.25,311.25,311.25,311.25,312.8581311,,,313.9398195,,,309.3400328,,,,,,,
31-07-2023,10:38,311.25,311.25,311.25,311.25,312.5365048,,,313.6952907,,,309.414934,,,,,,,
31-07-2023,10:39,311.25,316.95,311.25,316.95,313.4192039,,,313.9911731,,,309.7104292,,,,,,,
31-07-2023,10:40,316.95,325.45,316.95,325.45,315.8253631,,,315.0328836,,,310.3276722,,,,,,,
31-07-2023,10:41,325.45,325.45,325.45,325.45,317.7502905,,,315.9798932,,,310.9207094,,,,,,,
31-07-2023,10:42,325.45,325.45,325.45,325.45,319.2902324,,,316.8408112,,,311.4904901,,,,,,,
31-07-2023,10:43,325.45,325.8,325.45,325.8,320.5921859,,,317.6552821,,,312.0516518,,,,,,,
31-07-2023,10:44,325.8,325.8,323.6,323.6,321.1937487,,,318.1957104,,,312.5045318,,,,,,,
31-07-2023,10:45,323.6,323.6,323.6,323.6,321.674999,,,318.687009,,,312.9396517,,,,,,,
31-07-2023,10:46,323.6,323.6,323.6,323.6,322.0599992,,,319.1336441,,,313.3577079,,,,,,,
31-07-2023,10:47,323.6,323.6,323.6,323.6,322.3679993,,,319.539676,,,313.7593697,,,,,,,
31-07-2023,10:48,319.35,319.35,318.45,318.45,321.5843995,,,319.4406147,,,313.9433174,,,,,,,
31-07-2023,10:49,318.45,318.45,318.45,318.45,320.9575196,,,319.3505589,,,314.1200515,,,,,,,
31-07-2023,10:50,318.45,326,318.45,326,321.9660157,,,319.9550529,,,314.5859355,,,,,,,
31-07-2023,10:51,326,326,326,326,322.7728125,,,320.504593,,,315.0335495,,,,,,,
31-07-2023,10:52,326,326,326,326,323.41825,,,321.004175,,,315.4636098,,,,,,,
31-07-2023,10:53,326,326,326,326,323.9346,,,321.4583404,,,315.8768049,,,,,,,
31-07-2023,10:54,326,326.95,326,326.95,324.53768,,,321.9575817,,,316.3110513,,,,,,,
31-07-2023,10:55,326.95,326.95,326.35,326.35,324.900144,,,322.3568921,,,316.7047387,,,,,,,
31-07-2023,10:56,326.35,326.35,326.35,326.35,325.1901152,,,322.7199015,,,317.0829873,,,,,,,
31-07-2023,10:57,326.35,326.35,326.35,326.35,325.4220922,,,323.0499101,,,317.4464025,,,,,,,
31-07-2023,10:58,326.35,326.35,326.35,326.35,325.6076737,,,323.349918,,,317.7955659,,,,,,,
31-07-2023,10:59,326.35,326.35,326.35,326.35,325.756139,,,323.6226525,,,318.1310366,,,,,,,
31-07-2023,11:00,326.35,326.35,326.35,326.35,325.8749112,,,323.8705929,,,318.4533515,,,,,,,
31-07-2023,11:01,326.35,326.35,326.35,326.35,325.969929,,,324.0959933,,,318.7630265,,,,,,,
31-07-2023,11:02,326.35,327.7,326.35,327.7,326.3159432,,,324.42363,,,319.1134988,,,,,,,
31-07-2023,11:03,327.7,327.7,327.7,327.7,326.5927545,,,324.7214815,,,319.450227,,,,,,,
31-07-2023,11:04,327.7,331.1,327.7,331.1,327.4942036,,,325.3013462,,,319.9070845,,,,,,,
31-07-2023,11:05,331.1,331.1,328.9,328.9,327.7753629,,,325.6284962,,,320.2597507,,,,,,,
31-07-2023,11:06,328.9,328.9,327.85,327.85,327.7902903,,,325.8304509,,,320.5574099,,,,,,,
31-07-2023,11:07,327.85,327.85,327.85,327.85,327.8022323,,,326.0140461,,,320.8433961,,,,,,,
31-07-2023,11:08,327.85,327.85,324.5,324.5,327.1417858,,,325.8764057,,,320.9867935,,,,,,,
31-07-2023,11:09,324.5,324.5,324.5,324.5,326.6134286,,,325.751278,,,321.1245674,,,,,,,
31-07-2023,11:10,324.5,327.85,324.5,327.85,326.8607429,,,325.9420707,,,321.388312,,,,,,,
31-07-2023,11:11,327.85,327.85,327.8,327.8,327.0485943,,,326.1109732,,,321.6397527,,,,,,,
31-07-2023,11:12,327.8,327.8,327.8,327.8,327.1988755,,,326.264521,,,321.881333,,,,,,,
31-07-2023,11:13,327.8,327.8,327.8,327.8,327.3191004,,,326.4041098,,,322.1134394,,,,,,,
31-07-2023,11:14,327.8,327.8,327.8,327.8,327.4152803,,,326.5310088,,,322.3364436,,,,,,,
31-07-2023,11:15,327.8,327.8,327.8,327.8,327.4922242,,,326.6463715,,,322.5507024,,,,,,,
31-07-2023,11:16,327.8,327.8,327.8,327.8,327.5537794,,,326.7512467,,,322.7565589,,,,,,,
31-07-2023,11:17,327.8,327.8,327.8,327.8,327.6030235,,,326.8465879,,,322.9543425,,,,,,,
31-07-2023,11:18,327.8,327.8,327.8,327.8,327.6424188,,,326.9332616,,,323.1443698,,,,,,,
31-07-2023,11:19,327.8,327.8,327.8,327.8,327.673935,,,327.0120559,,,323.326945,,,,,,,
31-07-2023,11:20,327.8,327.8,327.8,327.8,327.699148,,,327.0836871,,,323.5023603,,,,,,,
31-07-2023,11:21,327.8,327.8,327.8,327.8,327.7193184,,,327.1488064,,,323.6708965,,,,,,,
31-07-2023,11:22,327.8,327.8,327.8,327.8,327.7354547,,,327.2080058,,,323.8328235,,,,,,,
31-07-2023,11:23,327.8,327.8,327.8,327.8,327.7483638,,,327.2618234,,,323.9884003,,,,,,,
31-07-2023,11:24,327.8,327.8,327.8,327.8,327.758691,,,327.3107485,,,324.137876,,,,,,,
31-07-2023,11:25,333.15,333.15,333.15,333.15,328.8369528,,,327.841589,,,324.4912954,,,,,,,
31-07-2023,11:26,333.15,333.15,333.15,333.15,329.6995623,,,328.3241713,,,324.8308552,,,,,,,
31-07-2023,11:27,333.15,333.15,333.15,333.15,330.3896498,,,328.7628826,,,325.1570988,,,,,,,
31-07-2023,11:28,333.15,341.9,333.15,341.9,332.6917198,,,329.9571648,,,325.8136884,,,,,,,
