INSTRUMENT,SYMBOL,EXPIRY_DT,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
FUTIDX,BANKNIFTY,31-Jul-24,51611.15,51974.85,50921.0,51401.1,51480.0,51818.2,51317.0,51401.1,1334955,-277515,249833,192607665886.5,127984
FUTIDX,BANKNIFTY,28-Aug-24,51700.0,52185.45,51151.2,51596.35,51680.0,52042.45,51317.0,51596.35,1130940,536175,141063,109068521859.0,74516
FUTIDX,BANKNIFTY,25-Sep-24,52255.0,52465.7,51500.0,51929.0,51990.0,52332.65,51317.0,51929.0,98550,19200,9221,7178460643.5,6081
FUTIDX,FINNIFTY,30-Jul-24,23282.0,23425.7,23005.85,23209.55,23234.9,23352.25,23165.1,23209.55,54750,-5425,3087,1790062332.5,1900
FUTIDX,FINNIFTY,27-Aug-24,23431.0,23509.3,23133.95,23307.3,23338.35,23449.75,23165.1,23307.3,14525,1425,1308,761599981.25,859
FUTIDX,FINNIFTY,24-Sep-24,23464.55,23464.55,23280.0,23408.45,23416.9,23511.75,23165.1,23408.45,1175,350,25,14603256.25,20
FUTIDX,MIDCPNIFTY,29-Jul-24,12379.35,12492.8,12332.4,12475.85,12480.0,12391.35,12459.55,12475.85,1582500,-306400,16561,10280360102.5,11650
FUTIDX,MIDCPNIFTY,26-Aug-24,12391.85,12510.0,12350.0,12488.6,12499.0,12407.15,12459.55,12488.6,1114500,322900,16329,10144206010.0,9699
FUTIDX,MIDCPNIFTY,30-Sep-24,12410.5,12513.95,12376.9,12498.4,12505.35,12405.65,12459.55,12498.4,15850,3350,196,122046725.0,165
FUTIDX,NIFTY,25-Jul-24,24418.0,24489.0,24281.55,24388.75,24421.5,24463.1,24413.5,24388.75,9326225,-2301875,315393,192177681478.75,123886
FUTIDX,NIFTY,29-Aug-24,24557.95,24600.0,24385.0,24492.2,24522.0,24582.45,24413.5,24492.2,8403600,3734875,307210,187979564400.0,130000
FUTIDX,NIFTY,26-Sep-24,24670.0,24730.0,24525.0,24631.55,24648.25,24719.65,24413.5,24631.55,554700,30775,15060,9266834855.0,8716
FUTIDX,NIFTYNXT50,26-Jul-24,71734.05,72199.95,71689.65,71951.2,71975.0,71734.55,71844.65,71951.2,6820,-290,389,279872602.0,309
FUTIDX,NIFTYNXT50,30-Aug-24,72000.0,72349.95,71900.0,72205.35,72240.0,72032.5,71844.65,72205.35,5420,750,239,172400849.5,181
FUTIDX,NIFTYNXT50,27-Sep-24,72500.0,72734.2,72400.0,72734.2,72734.2,70500.0,71844.65,72734.2,320,30,8,5796355.0,8
FUTSTK,AARTIIND,25-Jul-24,685.5,696.7,682.55,691.4,689.8,687.55,691.25,691.4,2530000,-2235000,3580,2474614250.0,3200
FUTSTK,AARTIIND,29-Aug-24,689.35,700.0,686.85,695.1,694.95,691.05,691.25,695.1,9795000,2135000,4156,2887918300.0,3570
FUTSTK,AARTIIND,26-Sep-24,694.95,704.0,694.95,700.0,699.95,695.65,691.25,700.0,185000,9000,56,39225000.0,52
FUTSTK,ABB,25-Jul-24,7540.0,7619.0,7421.35,7512.1,7513.9,7493.65,7522.65,7512.1,437625,-354750,5044,4733086587.5,4368
FUTSTK,ABB,29-Aug-24,7564.55,7668.6,7469.5,7560.75,7566.0,7542.1,7522.65,7560.75,1204875,293125,6105,5764521256.25,5418
FUTSTK,ABB,26-Sep-24,7603.0,7697.6,7535.2,7619.6,7621.75,7600.9,7522.65,7619.6,22250,1875,37,35272818.75,35
FUTSTK,ABBOTINDIA,25-Jul-24,27623.05,27844.45,27507.7,27714.5,27700.0,27748.6,27701.35,27714.5,24240,-38880,3188,1762610249.0,2871
FUTSTK,ABBOTINDIA,29-Aug-24,28252.0,28252.0,27700.75,27911.35,27841.0,27943.05,27701.35,27911.35,123880,36480,3153,1755649560.0,2697
FUTSTK,ABBOTINDIA,26-Sep-24,27989.4,28099.5,27885.75,27996.7,27996.6,27727.9,27701.35,27996.7,420,-140,12,6720759.0,10
FUTSTK,ABCAPITAL,25-Jul-24,215.05,217.77,214.57,215.69,215.69,215.3,215.51,215.69,18657000,-24213600,5510,6415275060.0,3181
FUTSTK,ABCAPITAL,29-Aug-24,216.89,219.25,216.0,217.12,217.17,216.71,215.51,217.12,53767800,24494400,6210,7278490332.0,3866
FUTSTK,ABCAPITAL,26-Sep-24,218.1,220.64,218.0,218.46,218.85,218.37,215.51,218.46,928800,232200,68,80404596.0,67
FUTSTK,ABFRL,25-Jul-24,318.2,325.35,314.65,323.0,322.55,314.6,322.2,323.0,13202800,-7677800,6570,5463267810.0,4659
FUTSTK,ABFRL,29-Aug-24,318.85,327.25,316.05,324.85,324.8,315.5,322.2,324.85,30602000,9019400,7376,6169900490.0,5402
FUTSTK,ABFRL,26-Sep-24,316.0,324.75,315.0,323.0,323.6,313.35,322.2,323.0,943800,543400,372,309720320.0,346
FUTSTK,ACC,25-Jul-24,2635.5,2658.55,2613.0,2620.3,2623.85,2651.75,2619.4,2620.3,1004400,-1009800,5002,3955506450.0,4411
FUTSTK,ACC,29-Aug-24,2610.4,2676.4,2610.4,2638.25,2641.0,2669.7,2619.4,2638.25,3620400,988200,5194,4134981120.0,4554
FUTSTK,ACC,26-Sep-24,2669.75,2685.7,2659.25,2659.45,2659.6,2687.25,2619.4,2659.45,29700,4500,25,20054340.0,21
