"Time","Type","Instrument","Product","Qty.","Avg. price","Status"
"2024-04-19 15:33:17","BUY","NIFTY24APR22500CE","NRML","0/50",36.05,"CANCELLED"
"2024-04-19 15:33:16","BUY","NIFTY24APR21250PE","NRML","0/50",32.05,"CANCELLED"
"2024-04-19 15:33:16","BUY","NIFTY24APR21200PE","NRML","0/50",30.6,"CANCELLED"
"2024-04-19 13:03:42","BUY","NIFTY24APR23100CE","NRML","50/50",1.4,"COMPLETE"
"2024-04-19 13:03:01","BUY","NIFTY24APR20650PE","NRML","50/50",8.95,"COMPLETE"
"2024-04-19 12:41:06","SELL","NIFTY24APR22500CE","NRML","50/50",20,"COMPLETE"
"2024-04-19 12:40:13","SELL","NIFTY24APR21250PE","NRML","50/50",25.25,"COMPLETE"
"2024-04-19 12:40:11","SELL","NIFTY24APR22900CE","NRML","50/50",2.35,"COMPLETE"
"2024-04-19 12:39:16","BUY","NIFTY24APR22300CE","NRML","50/50",52.1,"COMPLETE"
"2024-04-19 09:21:14","BUY","NIFTY24APR20600PE","NRML","50/50",10.55,"COMPLETE"
"2024-04-19 09:21:14","BUY","NIFTY24APR22900CE","NRML","50/50",2.45,"COMPLETE"
"2024-04-19 09:21:13","SELL","NIFTY24APR22300CE","NRML","50/50",26.2,"COMPLETE"
"2024-04-19 09:20:55","SELL","NIFTY24APR21200PE","NRML","50/50",38.25,"COMPLETE"
