Date,Nifty Closing Price,Client Call Short ROC,DII Call Short ROC,FII Call Short ROC,Pro Call Short ROC,Client Put Short ROC,DII Put Short ROC,FII Put Short ROC,Pro Put Short ROC,Client Call Long ROC,DII Call Long ROC,FII Call Long ROC,Pro Call Long ROC,Client Put Long ROC,DII Put Long ROC,FII Put Long ROC,Pro Put Long ROC,Client Net long,DII Net long,FII Net long,Pro Net long
25-Sep-2023,19674.55,-844361.0,0.0,-2645.0,-415382.0,511416.0,0.0,180041.0,-6910.0,-839989.0,0.0,-146102.0,-276295.0,520369.0,46124.0,106305.0,11750.0,-4581.0,-46124.0,-69721.0,120427.0
26-Sep-2023,19664.7,1257.0,0.0,-18593.0,-125651.0,-250816.0,0.0,-35441.0,-42051.0,35735.0,0.0,-62437.0,-116286.0,-283058.0,2000.0,-38283.0,-8968.0,66720.0,-2000.0,-41002.0,-23718.0
26-Sep-2023,19664.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27-Sep-2023,19664.7,426053.0,0.0,130117.0,205253.0,835051.0,0.0,218054.0,522699.0,421558.0,0.0,161372.0,178492.0,1057416.0,27618.0,195781.0,294990.0,-226860.0,-27618.0,53528.0,200948.0
28-Sep-2023,19664.7,-2856375.0,0.0,-624626.0,-567250.0,-2897935.0,0.0,-679123.0,-814513.0,-2950389.0,0.0,-593753.0,-504109.0,-3145440.0,-40273.0,-644382.0,-561478.0,153491.0,40273.0,-3868.0,-189894.0
29-Sep-2023,19664.7,870556.0,0.0,158974.0,-89612.0,1307908.0,0.0,185506.0,86425.0,695416.0,0.0,101910.0,142592.0,1430003.0,29022.0,61377.0,59438.0,-297235.0,-29022.0,67065.0,259191.0
03-Oct-2023,19664.7,1298830.0,0.0,134412.0,559690.0,683952.0,0.0,39208.0,264990.0,1304333.0,0.0,376214.0,312386.0,394194.0,-742.0,384070.0,210628.0,295261.0,742.0,-103060.0,-192942.0
04-Oct-2023,19664.7,-1237816.0,0.0,-311009.0,-332059.0,-844228.0,0.0,-139453.0,-188829.0,-1299365.0,0.0,-323137.0,-258382.0,-798327.0,930.0,-172670.0,-202444.0,-107450.0,-930.0,21089.0,87292.0
05-Oct-2023,19664.7,-663656.0,0.0,-34286.0,-161717.0,-373759.0,0.0,-143603.0,-46419.0,-647870.0,0.0,-165284.0,-46505.0,-349734.0,5319.0,-256599.0,37233.0,-8239.0,-5319.0,-18002.0,31560.0
06-Oct-2023,19664.7,1550314.0,0.0,134642.0,66576.0,1484346.0,0.0,176100.0,217189.0,1147658.0,0.0,183450.0,420424.0,1487691.0,6416.0,158920.0,224608.0,-406001.0,-6416.0,65988.0,346429.0
09-Oct-2023,19664.7,300086.0,0.0,133432.0,360463.0,-380558.0,0.0,8464.0,-78023.0,791159.0,0.0,117752.0,-114930.0,-376421.0,-968.0,-6942.0,-65785.0,486936.0,968.0,-274.0,-487631.0
10-Oct-2023,19664.7,-654793.0,0.0,-58571.0,-239943.0,1069864.0,0.0,233546.0,466471.0,-818299.0,0.0,-151352.0,16343.0,1591512.0,-5369.0,27276.0,156462.0,-685154.0,5369.0,113489.0,566295.0
