"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHNG 
","%CHNG 
","FINAL 
","FINAL QUANTITY 
","VALUE ","FFM CAP ","NM 52W H 
","NM 52W L 
"
"TITAN","3,106.40","3,140.00","33.60","1.08","3,140.00","23,899","75,042,860.00","1,296,174,895,889.28","3,113.90","1,941.35"
"NESTLEIND","23,099.45","23,155.05","55.60","0.24","23,155.05","70","1,620,853.50","824,045,504,053.79","23,392.45","17,801.25"
"ULTRACEMCO","8,410.20","8,417.95","7.75","0.09","8,417.95","383","3,224,074.85","971,163,959,487.60","8,499.00","5,682.25"
"ONGC","165.40","165.50","0.10","0.06","165.50","46,159","7,639,314.50","645,041,236,008.44","169.00","119.85"
"JSWSTEEL","795.55","796.00","0.45","0.06","796.00","4,865","3,872,540.00","730,747,493,995.96","808.30","541.00"
"UPL","672.75","672.85","0.10","0.01","672.85","2,909","1,957,320.65","338,330,764,623.44","807.00","652.60"
"BRITANNIA","5,173.55","5,173.55","-","-","5,173.55","428","2,214,279.40","610,610,644,657.69","5,270.35","3,564.10"
"TATACONSUM","845.05","845.05","-","-","845.05","2,339","1,976,571.95","502,439,228,692.80","877.20","686.60"
"GRASIM","1,768.05","1,768.05","-","-","1,768.05","987","1,745,065.35","651,918,915,409.61","1,839.50","1,345.60"
"NTPC","196.75","196.75","-","-","196.75","63,592","12,511,726.00","934,831,340,313.61","197.15","136.10"
"ADANIPORTS","740.05","739.95","-0.10","-0.01","739.95","3,182","2,354,520.90","623,458,222,236.43","987.85","395.10"
"SBILIFE","1,292.95","1,292.60","-0.35","-0.03","1,292.60","662","855,701.20","582,352,125,711.17","1,340.35","1,054.00"
"DRREDDY","5,231.80","5,230.00","-1.80","-0.03","5,230.00","1,373","7,180,790.00","636,069,246,429.99","5,258.50","3,997.00"
"MARUTI","9,859.40","9,854.00","-5.40","-0.05","9,854.00","1,771","17,451,434.00","1,310,464,383,168.16","10,036.95","8,076.05"
"POWERGRID","262.70","262.55","-0.15","-0.06","262.55","154,316","40,515,665.80","897,901,219,012.67","263.60","186.35"
"BPCL","393.30","393.00","-0.30","-0.08","393.00","8,801","3,458,793.00","375,393,525,854.69","397.15","288.05"
"HDFCLIFE","661.15","660.60","-0.55","-0.08","660.60","4,942","3,264,685.20","710,618,641,332.25","677.70","457.80"
"M&M","1,548.80","1,546.90","-1.90","-0.12","1,546.90","17,526","27,110,969.40","1,386,703,766,486.02","1,552.90","1,080.60"
"TATAMOTORS","600.80","600.00","-0.80","-0.13","600.00","56,282","33,769,200.00","1,057,642,317,082.77","604.95","375.20"
"RELIANCE","2,638.75","2,635.00","-3.75","-0.14","2,635.00","74,011","195,018,985.00","8,926,379,075,221.88","2,755.00","2,180.00"
"HINDUNILVR","2,757.10","2,753.10","-4.00","-0.15","2,753.10","4,509","12,413,727.90","2,461,662,066,014.88","2,765.00","2,393.00"
"APOLLOHOSP","5,283.05","5,274.95","-8.10","-0.15","5,274.95","1,500","7,912,425.00","531,735,072,514.70","5,310.00","3,783.50"
"ITC","473.90","473.00","-0.90","-0.19","473.00","42,319","20,016,887.00","4,181,642,701,633.00","480.65","285.30"
"HCLTECH","1,180.65","1,178.15","-2.50","-0.21","1,178.15","9,266","10,916,737.90","1,249,516,591,281.04","1,202.60","877.35"
"LT","2,488.60","2,482.75","-5.85","-0.24","2,482.75","4,052","10,060,103.00","3,008,201,183,679.59","2,499.95","1,551.80"
"ADANIENT","2,402.90","2,395.00","-6.70","-0.28","2,395.00","3,514","8,416,030.00","739,613,347,285.74","4,190.00","1,017.45"
"KOTAKBANK","1,877.30","1,872.00","-5.30","-0.28","1,872.00","5,139","9,620,208.00","2,759,809,707,658.65","2,064.40","1,643.50"
"WIPRO","396.20","395.00","-1.20","-0.30","395.00","44,809","17,699,555.00","587,163,383,359.18","444.90","352.00"
"EICHERMOT","3,222.20","3,210.55","-11.65","-0.36","3,210.55","8,132","26,108,192.60","440,891,144,906.00","3,889.65","2,807.00"
