Date,Client Long,DII Long,FII Long,Pro Long,Client Short,DII Short,FII Short,Pro Short,Net Long Client,Net Long DII,Net Long FII,Net Long Pro
13-Jul-23,171913.0,48601.0,155754.0,42536.0,242722.0,57141.0,69274.0,49667.0,-70809.0,-8540.0,86480.0,-7131.0
14-Jul-23,179324.0,49027.0,153563.0,35098.0,237060.0,62141.0,64966.0,52845.0,-57736.0,-13114.0,88597.0,-17747.0
17-Jul-23,198981.0,49780.0,158035.0,43652.0,246025.0,69066.0,66924.0,68433.0,-47044.0,-19286.0,91111.0,-24781.0
18-Jul-23,178369.0,50472.0,162508.0,37946.0,240919.0,69066.0,65807.0,53503.0,-62550.0,-18594.0,96701.0,-15557.0
19-Jul-23,196213.0,48662.0,161985.0,40908.0,251000.0,69070.0,68748.0,58950.0,-54787.0,-20408.0,93237.0,-18042.0
20-Jul-23,213480.0,48424.0,178291.0,51343.0,277983.0,74347.0,73963.0,65245.0,-64503.0,-25923.0,104328.0,-13902.0
21-Jul-23,215243.0,48516.0,169572.0,44051.0,253482.0,74343.0,80832.0,68725.0,-38239.0,-25827.0,88740.0,-24674.0
24-Jul-2023,207910.0,48086.0,167937.0,40627.0,250354.0,74349.0,76775.0,63082.0,-42444.0,-26263.0,91162.0,-22455.0
25-Jul-2023,209547.0,47537.0,163055.0,38641.0,241647.0,74349.0,82872.0,59912.0,-32100.0,-26812.0,80183.0,-21271.0
26-Jul-2023,222882.0,46385.0,170083.0,41338.0,254605.0,74394.0,85175.0,66514.0,-31723.0,-28009.0,84908.0,-25176.0
27-Jul-2023,214674.0,44824.0,113483.0,33744.0,214927.0,74488.0,80242.0,37068.0,-253.0,-29664.0,33241.0,-3324.0
28-July-2023,213471.0,47929.0,100929.0,29289.0,192808.0,77088.0,87115.0,34607.0,20663.0,-29159.0,13814.0,-5318.0
28-July-2023,213471.0,47929.0,100929.0,29289.0,192808.0,77088.0,87115.0,34607.0,20663.0,-29159.0,13814.0,-5318.0
31-July-2023,221748.0,48327.0,99922.0,32867.0,196374.0,77088.0,94255.0,35147.0,25374.0,-28761.0,5667.0,-2280.0
01-Aug-2023,219907.0,47794.0,98094.0,35890.0,203533.0,72216.0,92674.0,33262.0,16374.0,-24422.0,5420.0,2628.0
02-Aug-2023,219983.0,48377.0,89084.0,32128.0,191701.0,66131.0,93427.0,38313.0,28282.0,-17754.0,-4343.0,-6185.0
25-Sep-2023,222314.0,44283.0,96423.0,52092.0,176190.0,67652.0,99965.0,71305.0,46124.0,-23369.0,-3542.0,-19213.0
26-Sep-2023,226277.0,44163.0,92035.0,50914.0,178285.0,69252.0,99054.0,66798.0,47992.0,-25089.0,-7019.0,-15884.0
26-Sep-2023,226277.0,44163.0,92035.0,50914.0,178285.0,69252.0,99054.0,66798.0,47992.0,-25089.0,-7019.0,-15884.0
26-Sep-2023,226277.0,44163.0,92035.0,50914.0,178285.0,69252.0,99054.0,66798.0,47992.0,-25089.0,-7019.0,-15884.0
27-Sep-2023,234402.0,43909.0,91843.0,50721.0,170961.0,69235.0,112691.0,67988.0,63441.0,-25326.0,-20848.0,-17267.0
28-Sep-2023,225550.0,47164.0,44912.0,57172.0,165238.0,69222.0,102191.0,38147.0,60312.0,-22058.0,-57279.0,19025.0
29-Sep-2023,222553.0,50677.0,41164.0,49581.0,149041.0,69222.0,106469.0,39243.0,73512.0,-18545.0,-65305.0,10338.0
03-Oct-2023,236935.0,51667.0,39837.0,48520.0,145015.0,69222.0,125730.0,36992.0,91920.0,-17555.0,-85893.0,11528.0
04-Oct-2023,263891.0,53055.0,47600.0,62486.0,176841.0,68959.0,139828.0,41404.0,87050.0,-15904.0,-92228.0,21082.0
05-Oct-2023,265887.0,52236.0,49316.0,66278.0,181903.0,69716.0,137627.0,44471.0,83984.0,-17480.0,-88311.0,21807.0
06-Oct-2023,258838.0,53296.0,49152.0,61532.0,175478.0,73726.0,133520.0,40094.0,83360.0,-20430.0,-84368.0,21438.0
09-Oct-2023,259881.0,54189.0,49824.0,61995.0,179718.0,69088.0,137643.0,39440.0,80163.0,-14899.0,-87819.0,22555.0
10-Oct-2023,257667.0,53498.0,47113.0,50816.0,165630.0,68774.0,132787.0,41903.0,92037.0,-15276.0,-85674.0,8913.0
