CE_OI,CE_CHNG_IN_OI,CE_Volume,CE_IV,CE_LTP,CE_CHNG,CE_BID_QTY,CE_BID_PRICE,CE_ASK_PRICE,CE_ASK_QTY,strikePrice,PE_CHNG_IN_OI,PE_Volume,PE_IV,PE_LTP,PE_CHNG,PE_BID_QTY,PE_BID_PRICE,PE_ASK_PRICE,PE_ASK_QTY,PE_OI,Nifty Current Price
1,0,0,0.0,0.0,0.0,200,1864.7,1919.85,200,17950,-3831,41672,52.39,1.1,-0.2999999999999998,16900,1.1,1.15,28850,39092,19839.55
217,-13,37,0.0,1834.95,91.10000000000014,100,1846.85,1850.85,50,18000,-3526,55536,51.58,1.2,-0.19999999999999996,26700,1.15,1.2,62450,81672,19839.55
0,0,0,0.0,0.0,0.0,750,1747.65,1820.5,1800,18050,-395,2784,50.03,1.15,-0.25,4200,1.1,1.15,10050,2026,19839.55
1,0,0,0.0,0.0,0.0,750,1697.8,1770.55,1800,18100,-2536,33861,48.96,1.2,-0.19999999999999996,16800,1.2,1.25,22300,16673,19839.55
0,0,0,0.0,0.0,0.0,750,1647.9,1720.45,1800,18150,-586,2678,47.42,1.15,-0.30000000000000004,6050,1.1,1.15,2150,943,19839.55
1,0,0,0.0,0.0,0.0,750,1597.95,1670.4,1800,18200,-1168,8980,45.89,1.1,-0.34999999999999987,10350,1.1,1.15,14550,21970,19839.55
0,0,0,0.0,0.0,0.0,750,1547.05,1620.4,1800,18250,-141,2722,44.59,1.1,-0.34999999999999987,7050,1.1,1.15,11350,1324,19839.55
4,0,0,0.0,0.0,0.0,200,1536.2,1556.45,50,18300,-929,7597,43.5,1.15,-0.3500000000000001,9900,1.1,1.15,16400,8787,19839.55
3,0,1,0.0,1484.8,4.7999999999999545,250,1488.1,1506.75,50,18350,-10,6906,41.99,1.1,-0.44999999999999996,15100,1.1,1.15,11000,2294,19839.55
8,0,1,0.0,1418.4,1.650000000000091,450,1435.85,1454.7,200,18400,-1778,19450,41.09,1.15,-0.40000000000000013,12400,1.15,1.2,16600,12607,19839.55
5,0,2,0.0,1366.5,-13.5,250,1386.0,1404.65,100,18450,-771,8841,39.78,1.2,-0.40000000000000013,12250,1.2,1.25,11350,2169,19839.55
141,0,0,0.0,0.0,0.0,400,1345.0,1350.15,200,18500,-12317,62700,38.83,1.3,-0.34999999999999987,47500,1.25,1.3,65850,45907,19839.55
4,0,0,0.0,0.0,0.0,500,1286.7,1305.7,650,18550,-693,11138,37.51,1.3,-0.34999999999999987,7350,1.25,1.3,9450,1706,19839.55
31,0,0,0.0,0.0,0.0,250,1235.8,1254.75,900,18600,2071,36525,36.35,1.35,-0.34999999999999987,43800,1.3,1.35,29850,18367,19839.55
