Date of Initiation,Expiry,Call Strike,Put Strike
25-11-2022,01-12-2022,18800,18200
02-12-2022,08-12-2022,19100,18450
09-12-2022,15-12-2022,18950,18400
16-12-2022,22-12-2022,18700,18050
23-12-2022,29-12-2022,18450,17600
30-12-2022,05-01-2023,18550,17900
06-01-2023,12-01-2023,18350,17650
13-01-2023,19-01-2023,18200,17450
20-01-2023,26-01-2023,18400,17800
27-01-2023,02-02-2023,18450,17650
03-02-2023,09-02-2023,18100,17300
10-02-2023,16-02-2023,18150,17550
17-02-2023,23-02-2023,18250,17650
24-02-2023,02-03-2023,17900,17300
03-03-2023,09-03-2023,17700,17200
10-03-2023,16-03-2023,17700,17050
17-03-2023,23-03-2023,17500,16700
24-03-2023,30-03-2023,17400,16750
31-03-2023,06-04-2023,17550,16900
06-04-2023,13-04-2023,17800,17200
13-04-2023,20-04-2023,18100,17500
21-04-2023,27-04-2023,17900,17400
28-04-2023,04-05-2023,18200,17700
05-05-2023,11-05-2023,18450,17900
12-05-2023,18-05-2023,18550,17950
19-05-2023,25-05-2023,18450,17900
26-05-2023,01-06-2023,18600,18050
02-06-2023,08-06-2023,18850,18300
09-06-2023,15-06-2023,18950,18400
16-06-2023,22-06-2023,19000,18500
23-06-2023,29-06-2023,19000,18450
30-06-2023,06-07-2023,19350,18800
07-07-2023,13-07-2023,19750,19150
14-07-2023,20-07-2023,19750,19200
21-07-2023,27-07-2023,20200,19500
28-07-2023,03-08-2023,19950,19300
04-08-2023,10-08-2023,19800,19200
11-08-2023,17-08-2023,19800,19200
18-08-2023,24-08-2023,19600,19000
25-08-2023,31-08-2023,19550,18950
01-09-2023,07-09-2023,19600,19000
08-09-2023,14-09-2023,20000,19500
15-09-2023,21-09-2023,20450,19850
22-09-2023,28-09-2023,20100,19500
29-09-2023,05-10-2023,19900,19250
06-10-2023,12-10-2023,19900,19300
13-10-2023,19-10-2023,20000,19400
20-10-2023,26-10-2023,19850,19250
27-10-2023,02-11-2023,19300,18600
03-11-2023,09-11-2023,19550,19000
10-11-2023,16-11-2023,19600,19100
17-11-2023,23-11-2023,20050,19450
24-11-2023,30-11-2023,20100,19600
01-12-2023,07-12-2023,20600,19900
08-12-2023,14-12-2023,21300,20650
15-12-2023,21-12-2023,21650,21000
22-12-2023,28-12-2023,21700,20900
29-12-2023,04-01-2024,22200,21300
05-01-2024,11-01-2024,22100,21400
12-01-2024,18-01-2024,22100,21350
