close,date,high,low,oi,open,symbol,time,volume
1.1,01-01-2024,1.25,0.95,3257450,1.25,NIFTY04JAN2418300PE,09:15:00,44701
1.05,01-01-2024,1.1,1,3257450,1.05,NIFTY04JAN2418300PE,09:16:00,50200
1.1,01-01-2024,1.1,1.05,3279550,1.05,NIFTY04JAN2418300PE,09:17:00,13950
1,01-01-2024,1.1,1,3279550,1.05,NIFTY04JAN2418300PE,09:18:00,44750
1.05,01-01-2024,1.05,1,3279550,1,NIFTY04JAN2418300PE,09:19:00,24400
1.05,01-01-2024,1.05,1,3272250,1,NIFTY04JAN2418300PE,09:20:00,6500
1.05,01-01-2024,1.05,1,3272250,1,NIFTY04JAN2418300PE,09:21:00,58650
1.05,01-01-2024,1.1,1.05,3272250,1.05,NIFTY04JAN2418300PE,09:22:00,126450
1.1,01-01-2024,1.1,1.05,3272000,1.05,NIFTY04JAN2418300PE,09:23:00,33100
1.1,01-01-2024,1.1,1.05,3272000,1.05,NIFTY04JAN2418300PE,09:24:00,8650
1.1,01-01-2024,1.1,1.05,3272000,1.1,NIFTY04JAN2418300PE,09:25:00,850
1.1,01-01-2024,1.1,1.05,3274350,1.1,NIFTY04JAN2418300PE,09:26:00,11550
1.05,01-01-2024,1.1,1.05,3274350,1.1,NIFTY04JAN2418300PE,09:27:00,14900
1.05,01-01-2024,1.05,1,3274350,1.05,NIFTY04JAN2418300PE,09:28:00,20350
1.05,01-01-2024,1.1,1,3268950,1,NIFTY04JAN2418300PE,09:29:00,7900
1.1,01-01-2024,1.1,1.05,3268950,1.05,NIFTY04JAN2418300PE,09:30:00,2950
1.05,01-01-2024,1.1,1.05,3268950,1.1,NIFTY04JAN2418300PE,09:31:00,9950
1.05,01-01-2024,1.05,1,3268600,1.05,NIFTY04JAN2418300PE,09:32:00,1900
1.05,01-01-2024,1.05,1,3268600,1.05,NIFTY04JAN2418300PE,09:33:00,11200
1.05,01-01-2024,1.05,1,3268600,1.05,NIFTY04JAN2418300PE,09:34:00,3350
1.05,01-01-2024,1.05,1,3271700,1,NIFTY04JAN2418300PE,09:35:00,150
1,01-01-2024,1.05,1,3271700,1.05,NIFTY04JAN2418300PE,09:36:00,500
1,01-01-2024,1.05,1,3271700,1.05,NIFTY04JAN2418300PE,09:37:00,150
1,01-01-2024,1,1,3271700,1,NIFTY04JAN2418300PE,09:38:00,150
1.05,01-01-2024,1.05,1,3271750,1.05,NIFTY04JAN2418300PE,09:39:00,2800
1.05,01-01-2024,1.05,1.05,3271750,1.05,NIFTY04JAN2418300PE,09:40:00,700
1,01-01-2024,1,1,3272500,1,NIFTY04JAN2418300PE,09:41:00,300
1,01-01-2024,1,1,3272500,1,NIFTY04JAN2418300PE,09:42:00,50
1,01-01-2024,1.05,1,3272500,1.05,NIFTY04JAN2418300PE,09:43:00,52150
1,01-01-2024,1,0.95,3280450,1,NIFTY04JAN2418300PE,09:44:00,2800
1,01-01-2024,1.05,1,3280450,1,NIFTY04JAN2418300PE,09:45:00,34550
1,01-01-2024,1,1,3280450,1,NIFTY04JAN2418300PE,09:46:00,29150
1,01-01-2024,1.05,1,3326550,1,NIFTY04JAN2418300PE,09:47:00,64600
1,01-01-2024,1.05,0.95,3326550,1.05,NIFTY04JAN2418300PE,09:48:00,36250
1,01-01-2024,1,1,3326550,1,NIFTY04JAN2418300PE,09:49:00,15450
1.05,01-01-2024,1.05,1,3344500,1.05,NIFTY04JAN2418300PE,09:50:00,600
1.05,01-01-2024,1.05,1,3344500,1,NIFTY04JAN2418300PE,09:51:00,13150
1.05,01-01-2024,1.05,1,3344500,1.05,NIFTY04JAN2418300PE,09:52:00,65650
1.05,01-01-2024,1.1,1.05,3354200,1.05,NIFTY04JAN2418300PE,09:53:00,24000
1.15,01-01-2024,1.15,1.05,3354200,1.05,NIFTY04JAN2418300PE,09:54:00,40650
1.15,01-01-2024,1.4,1.15,3354200,1.2,NIFTY04JAN2418300PE,09:55:00,161650
1.3,01-01-2024,1.35,1.1,3488000,1.1,NIFTY04JAN2418300PE,09:56:00,201400
1.3,01-01-2024,1.35,1.25,3488000,1.3,NIFTY04JAN2418300PE,09:57:00,186650
1.3,01-01-2024,1.35,1.3,3488000,1.3,NIFTY04JAN2418300PE,09:58:00,113950
1.25,01-01-2024,1.3,1.25,3782350,1.3,NIFTY04JAN2418300PE,09:59:00,40900
1.2,01-01-2024,1.3,1.2,3782350,1.25,NIFTY04JAN2418300PE,10:00:00,21650
1.2,01-01-2024,1.25,1.2,3782350,1.2,NIFTY04JAN2418300PE,10:01:00,7150
1.2,01-01-2024,1.25,1.2,3797050,1.2,NIFTY04JAN2418300PE,10:02:00,22650
1.15,01-01-2024,1.2,1.15,3797050,1.2,NIFTY04JAN2418300PE,10:03:00,14350
1.2,01-01-2024,1.2,1.15,3797050,1.15,NIFTY04JAN2418300PE,10:04:00,750
1.15,01-01-2024,1.2,1.15,3788850,1.15,NIFTY04JAN2418300PE,10:05:00,16600
1.1,01-01-2024,1.15,1.1,3788850,1.15,NIFTY04JAN2418300PE,10:06:00,13600
1.15,01-01-2024,1.15,1.1,3788850,1.1,NIFTY04JAN2418300PE,10:07:00,6850
1.15,01-01-2024,1.15,1.1,3794350,1.15,NIFTY04JAN2418300PE,10:08:00,30500
1.15,01-01-2024,1.2,1.15,3794350,1.2,NIFTY04JAN2418300PE,10:09:00,1700
1.15,01-01-2024,1.2,1.15,3794350,1.2,NIFTY04JAN2418300PE,10:10:00,10400
1.15,01-01-2024,1.15,1.15,3785350,1.15,NIFTY04JAN2418300PE,10:11:00,13700
1.15,01-01-2024,1.15,1.1,3785350,1.15,NIFTY04JAN2418300PE,10:12:00,1550
1.15,01-01-2024,1.15,1.1,3785350,1.1,NIFTY04JAN2418300PE,10:13:00,700
1.1,01-01-2024,1.1,1.1,3785000,1.1,NIFTY04JAN2418300PE,10:14:00,1100
1.15,01-01-2024,1.15,1.1,3785000,1.15,NIFTY04JAN2418300PE,10:15:00,2400
1.1,01-01-2024,1.15,1.1,3785000,1.15,NIFTY04JAN2418300PE,10:16:00,350
1.15,01-01-2024,1.15,1.1,3785450,1.1,NIFTY04JAN2418300PE,10:17:00,10950
1.15,01-01-2024,1.15,1.1,3785450,1.15,NIFTY04JAN2418300PE,10:18:00,7700
1.1,01-01-2024,1.15,1.1,3785450,1.15,NIFTY04JAN2418300PE,10:19:00,2600
1.05,01-01-2024,1.1,1.05,3754700,1.1,NIFTY04JAN2418300PE,10:20:00,49400
1.05,01-01-2024,1.1,1,3754700,1.05,NIFTY04JAN2418300PE,10:21:00,58800
1.1,01-01-2024,1.1,1.05,3754700,1.05,NIFTY04JAN2418300PE,10:22:00,3100
1.1,01-01-2024,1.1,1.1,3683400,1.1,NIFTY04JAN2418300PE,10:23:00,750
1.05,01-01-2024,1.1,1,3683400,1.1,NIFTY04JAN2418300PE,10:24:00,58350
1.05,01-01-2024,1.05,1,3683400,1.05,NIFTY04JAN2418300PE,10:25:00,25100
1,01-01-2024,1.05,1,3638450,1,NIFTY04JAN2418300PE,10:26:00,19150
1,01-01-2024,1,1,3638450,1,NIFTY04JAN2418300PE,10:27:00,14400
1,01-01-2024,1.05,1,3638450,1.05,NIFTY04JAN2418300PE,10:28:00,3600
1,01-01-2024,1.05,1,3621150,1,NIFTY04JAN2418300PE,10:29:00,7400
1,01-01-2024,1,1,3621150,1,NIFTY04JAN2418300PE,10:30:00,150
1.05,01-01-2024,1.05,1,3621150,1,NIFTY04JAN2418300PE,10:31:00,1250
1.05,01-01-2024,1.05,1.05,3619050,1.05,NIFTY04JAN2418300PE,10:32:00,400
1.05,01-01-2024,1.05,1,3619050,1.05,NIFTY04JAN2418300PE,10:33:00,2350
1,01-01-2024,1,1,3619050,1,NIFTY04JAN2418300PE,10:34:00,250
1.05,01-01-2024,1.05,1.05,3619600,1.05,NIFTY04JAN2418300PE,10:35:00,4450
1.05,01-01-2024,1.05,1,3619600,1.05,NIFTY04JAN2418300PE,10:36:00,2550
1.05,01-01-2024,1.05,1,3619600,1.05,NIFTY04JAN2418300PE,10:37:00,5800
1,01-01-2024,1,1,3619600,1,NIFTY04JAN2418300PE,10:38:00,3000
1.05,01-01-2024,1.05,1,3610100,1,NIFTY04JAN2418300PE,10:39:00,1400
1.15,01-01-2024,1.15,1,3610100,1.05,NIFTY04JAN2418300PE,10:40:00,65850
1.15,01-01-2024,1.15,1.1,3633450,1.15,NIFTY04JAN2418300PE,10:41:00,15000
1.05,01-01-2024,1.15,1.05,3633450,1.1,NIFTY04JAN2418300PE,10:42:00,9150
1.1,01-01-2024,1.1,1.1,3633450,1.1,NIFTY04JAN2418300PE,10:43:00,50
1.1,01-01-2024,1.1,1.05,3631250,1.05,NIFTY04JAN2418300PE,10:44:00,16950
1.1,01-01-2024,1.1,1.1,3631250,1.1,NIFTY04JAN2418300PE,10:45:00,1800
1.2,01-01-2024,1.2,1.1,3631250,1.1,NIFTY04JAN2418300PE,10:46:00,56000
1.2,01-01-2024,1.25,1.15,3635150,1.2,NIFTY04JAN2418300PE,10:47:00,32350
1.15,01-01-2024,1.2,1.15,3635150,1.2,NIFTY04JAN2418300PE,10:48:00,2050
1.2,01-01-2024,1.2,1.15,3635150,1.2,NIFTY04JAN2418300PE,10:49:00,56450
1.15,01-01-2024,1.2,1.15,3638950,1.2,NIFTY04JAN2418300PE,10:50:00,700
1.2,01-01-2024,1.2,1.15,3638950,1.15,NIFTY04JAN2418300PE,10:51:00,4700
1.1,01-01-2024,1.2,1.1,3638950,1.2,NIFTY04JAN2418300PE,10:52:00,30950
1.15,01-01-2024,1.15,1.15,3625900,1.15,NIFTY04JAN2418300PE,10:53:00,29700
1.15,01-01-2024,1.15,1.15,3625900,1.15,NIFTY04JAN2418300PE,10:54:00,600
1.15,01-01-2024,1.15,1.15,3625900,1.15,NIFTY04JAN2418300PE,10:55:00,7050
1.15,01-01-2024,1.2,1.15,3639100,1.15,NIFTY04JAN2418300PE,10:56:00,24450
1.15,01-01-2024,1.15,1.15,3639100,1.15,NIFTY04JAN2418300PE,10:57:00,11250
1.1,01-01-2024,1.15,1.1,3639100,1.15,NIFTY04JAN2418300PE,10:58:00,1100
1.1,01-01-2024,1.15,1.1,3639100,1.15,NIFTY04JAN2418300PE,10:59:00,200
1.1,01-01-2024,1.1,1.1,3641900,1.1,NIFTY04JAN2418300PE,11:00:00,250
1.15,01-01-2024,1.15,1.15,3641900,1.15,NIFTY04JAN2418300PE,11:01:00,10900
1.1,01-01-2024,1.15,1.1,3643950,1.15,NIFTY04JAN2418300PE,11:03:00,1950
1.15,01-01-2024,1.15,1.15,3643950,1.15,NIFTY04JAN2418300PE,11:04:00,2350
1.1,01-01-2024,1.15,1.1,3643350,1.15,NIFTY04JAN2418300PE,11:05:00,100
1.1,01-01-2024,1.1,1.1,3643350,1.1,NIFTY04JAN2418300PE,11:06:00,50
1.15,01-01-2024,1.15,1.1,3643350,1.15,NIFTY04JAN2418300PE,11:07:00,19600
1.15,01-01-2024,1.15,1.15,3639400,1.15,NIFTY04JAN2418300PE,11:08:00,67250
1.15,01-01-2024,1.15,1.1,3639400,1.15,NIFTY04JAN2418300PE,11:09:00,16400
1.15,01-01-2024,1.2,1.15,3639400,1.15,NIFTY04JAN2418300PE,11:10:00,8150
1.15,01-01-2024,1.2,1.15,3607250,1.15,NIFTY04JAN2418300PE,11:11:00,1250
1.15,01-01-2024,1.2,1.15,3607250,1.15,NIFTY04JAN2418300PE,11:12:00,35650
1.15,01-01-2024,1.15,1.15,3607250,1.15,NIFTY04JAN2418300PE,11:13:00,50
1.15,01-01-2024,1.15,1.15,3607250,1.15,NIFTY04JAN2418300PE,11:14:00,100
1.2,01-01-2024,1.2,1.15,3603050,1.2,NIFTY04JAN2418300PE,11:15:00,600
1.15,01-01-2024,1.15,1.15,3603050,1.15,NIFTY04JAN2418300PE,11:16:00,36700
1.15,01-01-2024,1.15,1.1,3603050,1.15,NIFTY04JAN2418300PE,11:18:00,4050
1.15,01-01-2024,1.15,1.1,3603050,1.15,NIFTY04JAN2418300PE,11:19:00,11750
1.15,01-01-2024,1.2,1.15,3603050,1.15,NIFTY04JAN2418300PE,11:20:00,5000
1.1,01-01-2024,1.15,1.1,3611800,1.15,NIFTY04JAN2418300PE,11:21:00,20600
1.1,01-01-2024,1.15,1.1,3611800,1.15,NIFTY04JAN2418300PE,11:22:00,23250
1.1,01-01-2024,1.1,1.05,3609100,1.05,NIFTY04JAN2418300PE,11:23:00,1300
1.1,01-01-2024,1.1,1.1,3609100,1.1,NIFTY04JAN2418300PE,11:24:00,50
1.1,01-01-2024,1.1,1.05,3609100,1.1,NIFTY04JAN2418300PE,11:25:00,2650
1.1,01-01-2024,1.1,1.1,3609100,1.1,NIFTY04JAN2418300PE,11:26:00,800
1.1,01-01-2024,1.1,1.1,3610850,1.1,NIFTY04JAN2418300PE,11:27:00,2000
1.1,01-01-2024,1.1,1.05,3610850,1.05,NIFTY04JAN2418300PE,11:28:00,2750
1.1,01-01-2024,1.1,1.1,3612500,1.1,NIFTY04JAN2418300PE,11:29:00,42350
1.15,01-01-2024,1.15,1.1,3612500,1.15,NIFTY04JAN2418300PE,11:30:00,4700
1.1,01-01-2024,1.15,1.1,3612500,1.1,NIFTY04JAN2418300PE,11:31:00,2000
1.1,01-01-2024,1.1,1.1,3612500,1.1,NIFTY04JAN2418300PE,11:32:00,18050
1.1,01-01-2024,1.1,1.1,3641700,1.1,NIFTY04JAN2418300PE,11:33:00,5700
1.05,01-01-2024,1.1,1.05,3641700,1.1,NIFTY04JAN2418300PE,11:34:00,3900
1.05,01-01-2024,1.05,1.05,3641700,1.05,NIFTY04JAN2418300PE,11:35:00,50
1.1,01-01-2024,1.1,1.05,3636400,1.1,NIFTY04JAN2418300PE,11:36:00,10050
1.05,01-01-2024,1.1,1.05,3636400,1.1,NIFTY04JAN2418300PE,11:37:00,49800
1.1,01-01-2024,1.1,1.05,3636400,1.05,NIFTY04JAN2418300PE,11:38:00,100
1.05,01-01-2024,1.1,1.05,3611200,1.1,NIFTY04JAN2418300PE,11:39:00,150
1.1,01-01-2024,1.1,1.1,3611150,1.1,NIFTY04JAN2418300PE,11:41:00,50
1.1,01-01-2024,1.1,1.05,3611150,1.1,NIFTY04JAN2418300PE,11:42:00,1500
