Date,Time,Net Profit and Loss,Call Premium Collected,Put Premium Collected,Close CE_1,SL Call 1,Close PE_1,SL Put 1,Close PE_2,SL Put 2,Close PE_3,SL Put 3,Close PE_4,SL Put 4
16-Jun-23,09:20,0,0,0,11.7,23.4,15.55,31.1,,,,,,
16-Jun-23,09:21,17.5,0.6,-0.25,11.1,23.4,15.8,31.1,,,,,,
16-Jun-23,09:22,20,0.3,0.1,11.4,23.4,15.45,31.1,,,,,,
16-Jun-23,09:23,25,0.25,0.25,11.45,23.4,15.3,31.1,,,,,,
16-Jun-23,09:24,52.5,0.3,0.75,11.4,23.4,14.8,31.1,,,,,,
16-Jun-23,09:25,32.5,-0.35,1,12.05,22.8,14.55,29.6,,,,,,
16-Jun-23,09:26,15,-0.7,1,12.4,22.8,14.55,29.6,,,,,,
16-Jun-23,09:27,15,-0.75,1.05,12.45,22.8,14.5,29.6,,,,,,
16-Jun-23,09:28,20,-0.7,1.1,12.4,22.8,14.45,29.6,,,,,,
16-Jun-23,09:29,20,-0.75,1.15,12.45,22.8,14.4,29.6,,,,,,
16-Jun-23,09:30,-12.5,-2,1.75,13.7,22.8,13.8,28.8,,,,,,
16-Jun-23,09:31,42.5,-1.55,2.4,13.25,22.8,13.15,28.8,,,,,,
16-Jun-23,09:32,52.5,-1.05,2.1,12.75,22.8,13.45,28.8,,,,,,
16-Jun-23,09:33,40,-1.15,1.95,12.85,22.8,13.6,28.8,,,,,,
16-Jun-23,09:34,17.5,-2.5,2.85,14.2,22.8,12.7,28.8,,,,,,
16-Jun-23,09:35,25,-1.95,2.45,13.65,22.8,13.1,25.4,,,,,,
16-Jun-23,09:36,20,-2.25,2.65,13.95,22.8,12.9,25.4,,,,,,
16-Jun-23,09:37,20,-2.05,2.45,13.75,22.8,13.1,25.4,,,,,,
16-Jun-23,09:38,32.5,-1.85,2.5,13.55,22.8,13.05,25.4,,,,,,
16-Jun-23,09:39,27.5,-2.3,2.85,14,22.8,12.7,25.4,,,,,,
16-Jun-23,09:40,35,-2.1,2.8,13.8,22.8,12.75,25.4,,,,,,
16-Jun-23,09:41,45,-1.8,2.7,13.5,22.8,12.85,25.4,,,,,,
16-Jun-23,09:42,42.5,-2.15,3,13.85,22.8,12.55,25.4,,,,,,
16-Jun-23,09:43,40,-2.15,2.95,13.85,22.8,12.6,25.4,,,,,,
16-Jun-23,09:44,47.5,-2,2.95,13.7,22.8,12.6,25.4,,,,,,
16-Jun-23,09:45,37.5,-2.65,3.4,14.35,22.8,12.15,25.2,,,,,,
16-Jun-23,09:46,50,-2.15,3.15,13.85,22.8,12.4,25.2,,,,,,
16-Jun-23,09:47,62.5,-2.2,3.45,13.9,22.8,12.1,25.2,,,,,,
16-Jun-23,09:48,57.5,-2.15,3.3,13.85,22.8,12.25,25.2,,,,,,
16-Jun-23,09:49,60,-2.1,3.3,13.8,22.8,12.25,25.2,,,,,,
16-Jun-23,09:50,65,-1.9,3.2,13.6,22.8,12.35,24.5,,,,,,
16-Jun-23,09:51,57.5,-1.9,3.05,13.6,22.8,12.5,24.5,,,,,,
16-Jun-23,09:52,62.5,-1.75,3,13.45,22.8,12.55,24.5,,,,,,
16-Jun-23,09:53,60,-2,3.2,13.7,22.8,12.35,24.5,,,,,,
16-Jun-23,09:54,57.5,-2.1,3.25,13.8,22.8,12.3,24.5,,,,,,
16-Jun-23,09:55,60,-1.65,2.85,13.35,22.8,12.7,24.5,,,,,,
16-Jun-23,09:56,52.5,-1.45,2.5,13.15,22.8,13.05,24.5,,,,,,
16-Jun-23,09:57,52.5,-1.35,2.4,13.05,22.8,13.15,24.5,,,,,,
16-Jun-23,09:58,47.5,-1.15,2.1,12.85,22.8,13.45,24.5,,,,,,
16-Jun-23,09:59,55,-1.15,2.25,12.85,22.8,13.3,24.5,,,,,,
16-Jun-23,10:00,47.5,-1.35,2.3,13.05,22.8,13.25,24.5,,,,,,
16-Jun-23,10:01,42.5,-1.35,2.2,13.05,22.8,13.35,24.5,,,,,,
16-Jun-23,10:02,47.5,-1.2,2.15,12.9,22.8,13.4,24.5,,,,,,
16-Jun-23,10:03,42.5,-1.2,2.05,12.9,22.8,13.5,24.5,,,,,,
16-Jun-23,10:04,45,-0.95,1.85,12.65,22.8,13.7,24.5,,,,,,
16-Jun-23,10:05,55,-0.9,2,12.6,22.8,13.55,24.5,,,,,,
16-Jun-23,10:06,47.5,-0.75,1.7,12.45,22.8,13.85,24.5,,,,,,
16-Jun-23,10:07,60,-0.25,1.45,11.95,22.8,14.1,24.5,,,,,,
16-Jun-23,10:08,62.5,0,1.25,11.7,22.8,14.3,24.5,,,,,,
16-Jun-23,10:09,67.5,0.2,1.15,11.5,22.8,14.4,24.5,,,,,,
16-Jun-23,10:10,77.5,-0.25,1.8,11.95,22.8,13.75,24.5,,,,,,
16-Jun-23,10:11,87.5,-0.5,2.25,12.2,22.8,13.3,24.5,,,,,,
16-Jun-23,10:12,92.5,-0.9,2.75,12.6,22.8,12.8,24.5,,,,,,
16-Jun-23,10:13,100,-1.25,3.25,12.95,22.8,12.3,24.5,,,,,,
16-Jun-23,10:14,107.5,-1.35,3.5,13.05,22.8,12.05,24.5,,,,,,
16-Jun-23,10:15,107.5,-1.75,3.9,13.45,22.8,11.65,24.1,,,,,,
16-Jun-23,10:16,107.5,-1.8,3.95,13.5,22.8,11.6,24.1,,,,,,
16-Jun-23,10:17,112.5,-1.65,3.9,13.35,22.8,11.65,24.1,,,,,,
16-Jun-23,10:18,105,-1.7,3.8,13.4,22.8,11.75,24.1,,,,,,
16-Jun-23,10:19,107.5,-1.5,3.65,13.2,22.8,11.9,24.1,,,,,,
16-Jun-23,10:20,102.5,-1.8,3.85,13.5,22.8,11.7,23.8,,,,,,
16-Jun-23,10:21,107.5,-1.6,3.75,13.3,22.8,11.8,23.8,,,,,,
16-Jun-23,10:22,105,-1.7,3.8,13.4,22.8,11.75,23.8,,,,,,
16-Jun-23,10:23,112.5,-1.45,3.7,13.15,22.8,11.85,23.8,,,,,,
16-Jun-23,10:24,110,-1.45,3.65,13.15,22.8,11.9,23.8,,,,,,
16-Jun-23,10:25,107.5,-1.7,3.85,13.4,22.8,11.7,23.8,,,,,,
16-Jun-23,10:26,112.5,-2.4,4.65,14.1,22.8,10.9,23.8,,,,,,
16-Jun-23,10:27,82.5,-2.9,4.55,14.6,22.8,11,23.8,,,,,,
16-Jun-23,10:28,72.5,-3.15,4.6,14.85,22.8,10.95,23.8,,,,,,
16-Jun-23,10:29,62.5,-3.2,4.45,14.9,22.8,11.1,23.8,,,,,,
16-Jun-23,10:30,55,-3.25,4.35,14.95,22.8,11.2,22.2,,,,,,
16-Jun-23,10:31,60,-3.05,4.25,14.75,22.8,11.3,22.2,,,,,,
16-Jun-23,10:32,70,-2.8,4.2,14.5,22.8,11.35,22.2,,,,,,
16-Jun-23,10:33,77.5,-2.7,4.25,14.4,22.8,11.3,22.2,,,,,,
16-Jun-23,10:34,67.5,-2.8,4.15,14.5,22.8,11.4,22.2,,,,,,
16-Jun-23,10:35,67.5,-2.75,4.1,14.45,22.8,11.45,22.2,,,,,,
16-Jun-23,10:36,67.5,-2.55,3.9,14.25,22.8,11.65,22.2,,,,,,
16-Jun-23,10:37,87.5,-2,3.75,13.7,22.8,11.8,22.2,,,,,,
16-Jun-23,10:38,82.5,-2.25,3.9,13.95,22.8,11.65,22.2,,,,,,
16-Jun-23,10:39,75,-2.5,4,14.2,22.8,11.55,22.2,,,,,,
16-Jun-23,10:40,62.5,-2.95,4.2,14.65,22.8,11.35,22.2,,,,,,
16-Jun-23,10:41,62.5,-2.95,4.2,14.65,22.8,11.35,22.2,,,,,,
16-Jun-23,10:42,50,-3.35,4.35,15.05,22.8,11.2,22.2,,,,,,
16-Jun-23,10:43,52.5,-3.3,4.35,15,22.8,11.2,22.2,,,,,,
16-Jun-23,10:44,60,-2.9,4.1,14.6,22.8,11.45,22.2,,,,,,
16-Jun-23,10:45,60,-2.65,3.85,14.35,22.8,11.7,22.2,,,,,,
16-Jun-23,10:46,60,-2.3,3.5,14,22.8,12.05,22.2,,,,,,
16-Jun-23,10:47,62.5,-1.9,3.15,13.6,22.8,12.4,22.2,,,,,,
16-Jun-23,10:48,72.5,-1.55,3,13.25,22.8,12.55,22.2,,,,,,
16-Jun-23,10:49,72.5,-1.75,3.2,13.45,22.8,12.35,22.2,,,,,,
16-Jun-23,10:50,65,-2.15,3.45,13.85,22.8,12.1,22.2,,,,,,
16-Jun-23,10:51,55,-2.45,3.55,14.15,22.8,12,22.2,,,,,,
16-Jun-23,10:52,60,-2.3,3.5,14,22.8,12.05,22.2,,,,,,
16-Jun-23,10:53,67.5,-1.65,3,13.35,22.8,12.55,22.2,,,,,,
16-Jun-23,10:54,67.5,-2,3.35,13.7,22.8,12.2,22.2,,,,,,
16-Jun-23,10:55,57.5,-2.2,3.35,13.9,22.8,12.2,22.2,,,,,,
16-Jun-23,10:56,65,-2.2,3.5,13.9,22.8,12.05,22.2,,,,,,
16-Jun-23,10:57,70,-2.3,3.7,14,22.8,11.85,22.2,,,,,,
16-Jun-23,10:58,67.5,-2.2,3.55,13.9,22.8,12,22.2,,,,,,
16-Jun-23,10:59,60,-2.4,3.6,14.1,22.8,11.95,22.2,,,,,,
16-Jun-23,11:00,62.5,-2.15,3.4,13.85,22.8,12.15,22.2,,,,,,
16-Jun-23,11:01,72.5,-1.55,3,13.25,22.8,12.55,22.2,,,,,,
16-Jun-23,11:02,70,-1.75,3.15,13.45,22.8,12.4,22.2,,,,,,
16-Jun-23,11:03,70,-1.65,3.05,13.35,22.8,12.5,22.2,,,,,,
16-Jun-23,11:04,70,-1.5,2.9,13.2,22.8,12.65,22.2,,,,,,
16-Jun-23,11:05,57.5,-1.95,3.1,13.65,22.8,12.45,22.2,,,,,,
16-Jun-23,11:06,57.5,-1.8,2.95,13.5,22.8,12.6,22.2,,,,,,
16-Jun-23,11:07,65,-1.6,2.9,13.3,22.8,12.65,22.2,,,,,,
16-Jun-23,11:08,70,-1.6,3,13.3,22.8,12.55,22.2,,,,,,
16-Jun-23,11:09,72.5,-1.8,3.25,13.5,22.8,12.3,22.2,,,,,,
16-Jun-23,11:10,75,-1.6,3.1,13.3,22.8,12.45,22.2,,,,,,
16-Jun-23,11:11,75,-1.5,3,13.2,22.8,12.55,22.2,,,,,,
16-Jun-23,11:12,80,-1.55,3.15,13.25,22.8,12.4,22.2,,,,,,
16-Jun-23,11:13,75,-1.7,3.2,13.4,22.8,12.35,22.2,,,,,,
16-Jun-23,11:14,75,-1.75,3.25,13.45,22.8,12.3,22.2,,,,,,
16-Jun-23,11:15,77.5,-1.85,3.4,13.55,22.8,12.15,22.2,,,,,,
16-Jun-23,11:16,77.5,-1.85,3.4,13.55,22.8,12.15,22.2,,,,,,
16-Jun-23,11:17,72.5,-1.75,3.2,13.45,22.8,12.35,22.2,,,,,,
16-Jun-23,11:18,75,-1.65,3.15,13.35,22.8,12.4,22.2,,,,,,
16-Jun-23,11:19,67.5,-2.35,3.7,14.05,22.8,11.85,22.2,,,,,,
16-Jun-23,11:20,75,-1.55,3.05,13.25,22.8,12.5,22.2,,,,,,
16-Jun-23,11:21,92.5,-1.05,2.9,12.75,22.8,12.65,22.2,,,,,,
16-Jun-23,11:22,97.5,-0.7,2.65,12.4,22.8,12.9,22.2,,,,,,
16-Jun-23,11:23,97.5,-0.65,2.6,12.35,22.8,12.95,22.2,,,,,,
16-Jun-23,11:24,97.5,-0.55,2.5,12.25,22.8,13.05,22.2,,,,,,
16-Jun-23,11:25,95,-0.65,2.55,12.35,22.8,13,22.2,,,,,,
16-Jun-23,11:26,95,-0.75,2.65,12.45,22.8,12.9,22.2,,,,,,
16-Jun-23,11:27,95,-1,2.9,12.7,22.8,12.65,22.2,,,,,,
16-Jun-23,11:28,92.5,-1.05,2.9,12.75,22.8,12.65,22.2,,,,,,
16-Jun-23,11:29,107.5,-1.15,3.3,12.85,22.8,12.25,22.2,,,,,,
16-Jun-23,11:30,105,-1.1,3.2,12.8,22.8,12.35,22.2,,,,,,
16-Jun-23,11:31,100,-1,3,12.7,22.8,12.55,22.2,,,,,,
16-Jun-23,11:32,92.5,-0.8,2.65,12.5,22.8,12.9,22.2,,,,,,
16-Jun-23,11:33,100,-1.05,3.05,12.75,22.8,12.5,22.2,,,,,,
16-Jun-23,11:34,97.5,-1.05,3,12.75,22.8,12.55,22.2,,,,,,
16-Jun-23,11:35,95,-1.05,2.95,12.75,22.8,12.6,22.2,,,,,,
16-Jun-23,11:36,100,-1,3,12.7,22.8,12.55,22.2,,,,,,
16-Jun-23,11:37,107.5,-1.05,3.2,12.75,22.8,12.35,22.2,,,,,,
16-Jun-23,11:38,100,-1.05,3.05,12.75,22.8,12.5,22.2,,,,,,
16-Jun-23,11:39,97.5,-1.25,3.2,12.95,22.8,12.35,22.2,,,,,,
