Date,Time,Strike,Right,Order_ID,Status,Type,Initial Price,Trailing SL
19-04-2024,09:20:55,22300,Call,240419000000000.00,COMPLETE,Sell,26.2,52.1
19-04-2024,09:20:55,21200,Put,240000000000000.00,COMPLETE,Sell,36.45,45.7
19-04-2024,09:21:14,22900,Call,240000000000000.00,COMPLETE,Buy Hedge,2.45,0
19-04-2024,09:21:14,20600,Put,240000000000000.00,COMPLETE,Buy Hedge,10.55,0
19-04-2024,09:21:14,-22300,Call,240000000000000.00,COMPLETE,Buy,53.1,52.1
19-04-2024,09:21:14,-21200,Put,240000000000000.00,TRIGGER PENDING,Buy,72.9,45.7
19-04-2024,12:40:11,-22900,Call,240000000000000.00,COMPLETE,Hedge Sell,2.35,0
19-04-2024,12:40:13,22500,Call,240000000000000.00,COMPLETE,Sell,20,40
19-04-2024,12:40:13,21250,Put,240000000004283.00,COMPLETE,Sell,25.2,50.4
19-04-2024,12:40:13,-21250,Put,240000000000000.00,TRIGGER PENDING,Sell,25.2,50.4
19-04-2024,12:40:13,-22500,Call,240000000000000.00,TRIGGER PENDING,Sell,20,40
19-04-2024,09:21:14,23100,Call,240000000000000.00,COMPLETE,Buy Hedge,2.45,0
19-04-2024,09:21:14,20650,Put,240000000000000.00,COMPLETE,Buy Hedge,10.55,0
