INSTRUMENT,SYMBOL,Status,Date of Update
FUTSTK,AARTIIND,0,0
FUTSTK,AARTIIND,0,0
FUTSTK,AARTIIND,0,0
FUTSTK,ABB,0,0
FUTSTK,ABB,0,0
FUTSTK,ABB,0,0
FUTSTK,ABBOTINDIA,0,0
FUTSTK,ABBOTINDIA,0,0
FUTSTK,ABBOTINDIA,0,0
FUTSTK,ABCAPITAL,0,0
FUTSTK,ABCAPITAL,0,0
FUTSTK,ABCAPITAL,0,0
FUTSTK,ABFRL,0,0
FUTSTK,ABFRL,0,0
FUTSTK,ABFRL,0,0
FUTSTK,ACC,0,0
FUTSTK,ACC,0,0
FUTSTK,ACC,0,0
FUTSTK,ADANIENT,0,0
FUTSTK,ADANIENT,0,0
FUTSTK,ADANIENT,0,0
FUTSTK,ADANIPORTS,0,0
FUTSTK,ADANIPORTS,0,0
FUTSTK,ADANIPORTS,0,0
FUTSTK,ALKEM,0,0
FUTSTK,ALKEM,0,0
FUTSTK,ALKEM,0,0
FUTSTK,AMBUJACEM,0,0
FUTSTK,AMBUJACEM,0,0
FUTSTK,AMBUJACEM,0,0
FUTSTK,APOLLOHOSP,0,0
FUTSTK,APOLLOHOSP,0,0
FUTSTK,APOLLOHOSP,0,0
FUTSTK,APOLLOTYRE,0,0
FUTSTK,APOLLOTYRE,0,0
FUTSTK,APOLLOTYRE,0,0
FUTSTK,ASHOKLEY,0,0
FUTSTK,ASHOKLEY,0,0
FUTSTK,ASHOKLEY,0,0
FUTSTK,ASIANPAINT,0,0
FUTSTK,ASIANPAINT,0,0
FUTSTK,ASIANPAINT,0,0
FUTSTK,ASTRAL,0,0
FUTSTK,ASTRAL,0,0
FUTSTK,ASTRAL,0,0
FUTSTK,ATUL,0,0
FUTSTK,ATUL,0,0
FUTSTK,ATUL,0,0
FUTSTK,AUBANK,0,0
FUTSTK,AUBANK,0,0
FUTSTK,AUBANK,0,0
FUTSTK,AUROPHARMA,0,0
FUTSTK,AUROPHARMA,0,0
FUTSTK,AUROPHARMA,0,0
FUTSTK,AXISBANK,0,0
FUTSTK,AXISBANK,0,0
FUTSTK,AXISBANK,0,0
FUTSTK,BAJAJ-AUTO,0,0
FUTSTK,BAJAJ-AUTO,0,0
FUTSTK,BAJAJ-AUTO,0,0
FUTSTK,BAJAJFINSV,0,0
FUTSTK,BAJAJFINSV,0,0
FUTSTK,BAJAJFINSV,0,0
FUTSTK,BAJFINANCE,0,0
FUTSTK,BAJFINANCE,0,0
FUTSTK,BAJFINANCE,0,0
FUTSTK,BALKRISIND,0,0
FUTSTK,BALKRISIND,0,0
FUTSTK,BALKRISIND,0,0
FUTSTK,BALRAMCHIN,0,0
FUTSTK,BALRAMCHIN,0,0
FUTSTK,BALRAMCHIN,0,0
FUTSTK,BANDHANBNK,0,0
FUTSTK,BANDHANBNK,0,0
FUTSTK,BANDHANBNK,0,0
FUTSTK,BANKBARODA,0,0
FUTSTK,BANKBARODA,0,0
FUTSTK,BANKBARODA,0,0
FUTSTK,BATAINDIA,0,0
FUTSTK,BATAINDIA,0,0
FUTSTK,BATAINDIA,0,0
FUTSTK,BEL,0,0
FUTSTK,BEL,0,0
FUTSTK,BEL,0,0
FUTSTK,BERGEPAINT,0,0
FUTSTK,BERGEPAINT,0,0
FUTSTK,BERGEPAINT,0,0
FUTSTK,BHARATFORG,0,0
FUTSTK,BHARATFORG,0,0
FUTSTK,BHARATFORG,0,0
FUTSTK,BHARTIARTL,0,0
FUTSTK,BHARTIARTL,0,0
FUTSTK,BHARTIARTL,0,0
FUTSTK,BHEL,0,0
FUTSTK,BHEL,0,0
FUTSTK,BHEL,0,0
FUTSTK,BIOCON,0,0
FUTSTK,BIOCON,0,0
FUTSTK,BIOCON,0,0
FUTSTK,BOSCHLTD,0,0
FUTSTK,BOSCHLTD,0,0
FUTSTK,BOSCHLTD,0,0
FUTSTK,BPCL,0,0
FUTSTK,BPCL,0,0
FUTSTK,BPCL,0,0
FUTSTK,BRITANNIA,0,0
FUTSTK,BRITANNIA,0,0
FUTSTK,BRITANNIA,0,0
FUTSTK,BSOFT,0,0
FUTSTK,BSOFT,0,0
FUTSTK,BSOFT,0,0
FUTSTK,CANBK,0,0
FUTSTK,CANBK,0,0
FUTSTK,CANBK,0,0
FUTSTK,CANFINHOME,0,0
FUTSTK,CANFINHOME,0,0
FUTSTK,CANFINHOME,0,0
FUTSTK,CHAMBLFERT,0,0
FUTSTK,CHAMBLFERT,0,0
FUTSTK,CHAMBLFERT,0,0
FUTSTK,CHOLAFIN,0,0
FUTSTK,CHOLAFIN,0,0
FUTSTK,CHOLAFIN,0,0
FUTSTK,CIPLA,0,0
FUTSTK,CIPLA,0,0
FUTSTK,CIPLA,0,0
FUTSTK,COALINDIA,0,0
FUTSTK,COALINDIA,0,0
FUTSTK,COALINDIA,0,0
FUTSTK,COFORGE,0,0
FUTSTK,COFORGE,0,0
FUTSTK,COFORGE,0,0
FUTSTK,COLPAL,0,0
FUTSTK,COLPAL,0,0
FUTSTK,COLPAL,0,0
FUTSTK,CONCOR,0,0
FUTSTK,CONCOR,0,0
FUTSTK,CONCOR,0,0
FUTSTK,COROMANDEL,0,0
FUTSTK,COROMANDEL,0,0
FUTSTK,COROMANDEL,0,0
FUTSTK,CROMPTON,0,0
FUTSTK,CROMPTON,0,0
FUTSTK,CROMPTON,0,0
FUTSTK,CUB,0,0
FUTSTK,CUB,0,0
FUTSTK,CUB,0,0
FUTSTK,CUMMINSIND,0,0
FUTSTK,CUMMINSIND,0,0
FUTSTK,CUMMINSIND,0,0
FUTSTK,DABUR,0,0
FUTSTK,DABUR,0,0
FUTSTK,DABUR,0,0
FUTSTK,DALBHARAT,0,0
FUTSTK,DALBHARAT,0,0
FUTSTK,DALBHARAT,0,0
FUTSTK,DEEPAKNTR,0,0
FUTSTK,DEEPAKNTR,0,0
FUTSTK,DEEPAKNTR,0,0
FUTSTK,DIVISLAB,0,0
FUTSTK,DIVISLAB,0,0
FUTSTK,DIVISLAB,0,0
FUTSTK,DIXON,0,0
FUTSTK,DIXON,0,0
FUTSTK,DIXON,0,0
FUTSTK,DLF,0,0
FUTSTK,DLF,0,0
FUTSTK,DLF,0,0
FUTSTK,DRREDDY,0,0
FUTSTK,DRREDDY,0,0
FUTSTK,DRREDDY,0,0
FUTSTK,EICHERMOT,0,0
FUTSTK,EICHERMOT,0,0
FUTSTK,EICHERMOT,0,0
FUTSTK,ESCORTS,0,0
FUTSTK,ESCORTS,0,0
FUTSTK,ESCORTS,0,0
FUTSTK,EXIDEIND,0,0
FUTSTK,EXIDEIND,0,0
FUTSTK,EXIDEIND,0,0
FUTSTK,FEDERALBNK,0,0
FUTSTK,FEDERALBNK,0,0
FUTSTK,FEDERALBNK,0,0
FUTSTK,GAIL,0,0
FUTSTK,GAIL,0,0
FUTSTK,GAIL,0,0
FUTSTK,GLENMARK,0,0
FUTSTK,GLENMARK,0,0
FUTSTK,GLENMARK,0,0
FUTSTK,GMRINFRA,0,0
FUTSTK,GMRINFRA,0,0
FUTSTK,GMRINFRA,0,0
FUTSTK,GNFC,0,0
FUTSTK,GNFC,0,0
FUTSTK,GNFC,0,0
FUTSTK,GODREJCP,0,0
