Date of Initiation,Expiry,Call Strike Computed,Call Strike,Diff_Call,Put Strike Computed,Put Strike,Diff_Put
03-01-2020,09-01-2020,12450,12450,0,12000,12050,-50
10-01-2020,16-01-2020,12450,12450,0,12000,12000,0
17-01-2020,23-01-2020,12550,12550,0,12100,12150,-50
24-01-2020,30-01-2020,12400,12400,0,11900,11900,0
31-01-2020,06-02-2020,12500,12500,0,11600,11600,0
07-02-2020,13-02-2020,12350,12350,0,11850,11850,0
14-02-2020,20-02-2020,12450,12450,0,12000,12050,-50
20-02-2020,27-02-2020,0,12350,-12350,0,11850,-11850
28-02-2020,05-03-2020,11700,11700,0,10800,10800,0
06-03-2020,12-03-2020,11300,11300,0,10200,10200,0
13-03-2020,01-04-2020,#N/A,NA,#N/A,#N/A,NA,#N/A
20-03-2020,09-04-2020,#N/A,9450,#N/A,#N/A,7100,#N/A
27-03-2020,16-04-2020,0,9900,-9900,0,7800,-7800
03-04-2020,23-04-2020,10000,8750,1250,7400,7400,0
09-04-2020,30-04-2020,0,9600,-9600,0,8200,-8200
17-04-2020,07-05-2020,10000,9850,150,8750,8750,0
24-04-2020,14-05-2020,10000,9600,400,8650,8650,0
30-04-2020,21-05-2020,0,10100,-10100,0,9300,-9300
08-05-2020,28-05-2020,10000,9800,200,8850,8900,-50
15-05-2020,04-06-2020,10000,9600,400,8600,8650,-50
22-05-2020,11-06-2020,10000,9400,600,8600,8650,-50
29-05-2020,18-06-2020,10000,9800,200,9000,9000,0
05-06-2020,25-06-2020,10500,10500,0,9650,9650,0
12-06-2020,02-07-2020,10100,10100,0,9050,9050,0
19-06-2020,09-07-2020,10550,10550,0,9600,9650,-50
26-06-2020,16-07-2020,10750,10750,0,9900,9900,0
03-07-2020,23-07-2020,10950,10950,0,10150,10200,-50
10-07-2020,30-07-2020,11100,11100,0,10400,10400,0
17-07-2020,06-08-2020,11100,11100,0,10400,10450,-50
24-07-2020,13-08-2020,11450,11450,0,10700,10700,0
31-07-2020,20-08-2020,11450,11450,0,10650,10650,0
07-08-2020,27-08-2020,11500,11500,0,10800,10850,-50
14-08-2020,03-09-2020,11600,11600,0,11050,11050,0
21-08-2020,10-09-2020,11650,11650,0,11050,11050,0
28-08-2020,17-09-2020,11850,11850,0,11300,11300,0
04-09-2020,24-09-2020,11700,11700,0,10900,10950,-50
11-09-2020,01-10-2020,11750,11750,0,11100,11100,0
18-09-2020,08-10-2020,11850,11800,50,11200,11200,0
25-09-2020,15-10-2020,11250,11250,0,10500,10500,0
01-10-2020,22-10-2020,0,11650,-11650,0,11050,-11050
09-10-2020,29-10-2020,12200,12200,0,11450,11500,-50
16-10-2020,05-11-2020,12100,12100,0,11350,11400,-50
23-10-2020,12-11-2020,12250,12250,0,11600,11600,0
30-10-2020,19-11-2020,12100,12100,0,11150,11200,-50
06-11-2020,26-11-2020,12450,12450,0,11750,11750,0
13-11-2020,03-12-2020,12950,12950,0,12250,12300,-50
20-11-2020,10-12-2020,13150,13150,0,12450,12500,-50
27-11-2020,17-12-2020,13350,13350,0,12650,12650,0
04-12-2020,24-12-2020,13500,13500,0,12850,12850,0
11-12-2020,31-12-2020,13850,13850,0,13200,13200,0
18-12-2020,07-01-2021,14050,14050,0,13350,13400,-50
24-12-2020,14-01-2021,0,14000,-14000,0,13300,-13300
01-01-2021,21-01-2021,14350,14350,0,13600,13600,0
08-01-2021,28-01-2021,14550,14550,0,13850,13900,-50
15-01-2021,04-02-2021,14950,14950,0,14150,14150,0
22-01-2021,11-02-2021,14950,14950,0,14100,14100,0
