Date,Price,Open,High,Low,Change %
03/15/2024,6.87,6.89,6.9,6.86,-0.29%
03/14/2024,6.89,6.9,6.91,6.87,-0.29%
03/13/2024,6.91,6.91,6.93,6.88,0.29%
03-12-2024,6.89,6.91,6.93,6.89,-0.43%
03-11-2024,6.92,6.91,6.96,6.9,0.14%
03-07-2024,6.91,6.92,6.93,6.9,-0.29%
03-06-2024,6.93,6.93,6.97,6.91,-0.14%
03-05-2024,6.94,6.94,6.97,6.94,0.58%
03-04-2024,6.9,6.91,6.96,6.9,0.00%
03-01-2024,6.9,6.92,6.96,6.88,0.15%
02/29/2024,6.89,6.98,6.98,6.89,-1.15%
02/28/2024,6.97,7,7.03,6.97,-0.71%
02/27/2024,7.02,7.05,7.05,6.99,0.00%
02/26/2024,7.02,7.06,7.06,6.97,-0.43%
02/23/2024,7.05,7.03,7.06,7.02,0.00%
02/22/2024,7.05,7.03,7.05,7.01,-0.14%
02/21/2024,7.06,7.06,7.07,7.04,0.00%
02/20/2024,7.06,7.05,7.06,7.04,0.14%
02/16/2024,7.05,7.05,7.06,7.02,-0.14%
02/15/2024,7.06,7.07,7.07,7.04,0.14%
02/14/2024,7.05,7.03,7.06,7.02,0.28%
02/13/2024,7.03,7.03,7.05,7.01,0.14%
02-12-2024,7.02,7.02,7.04,7,-0.14%
02-09-2024,7.03,7.01,7.05,7.01,-0.14%
02-08-2024,7.04,7.02,7.05,7.02,0.14%
02-07-2024,7.03,7.02,7.06,7.02,-0.28%
02-06-2024,7.05,7.01,7.05,7.01,0.28%
02-05-2024,7.03,7,7.05,7,0.14%
02-02-2024,7.02,7.02,7.05,7.02,-0.28%
02-01-2024,7.04,7.05,7.06,7.03,0.00%
01/31/2024,7.04,7.01,7.05,7.01,0.00%
01/30/2024,7.04,7.02,7.06,7.02,0.00%
01/29/2024,7.04,7.05,7.06,7.02,0.14%
01/25/2024,7.03,7.05,7.05,7.01,0.57%
01/24/2024,6.99,6.98,7.01,6.98,0.00%
01/23/2024,6.99,6.99,6.99,6.97,-0.14%
01/19/2024,7,6.99,7,6.98,0.14%
01/18/2024,6.99,6.99,7,6.97,0.58%
01/17/2024,6.95,6.95,6.97,6.94,-0.29%
01/16/2024,6.97,6.97,6.97,6.94,0.29%
01/15/2024,6.95,6.95,6.97,6.93,0.00%
01-12-2024,6.95,6.94,6.98,6.94,0.00%
01-11-2024,6.95,6.96,6.96,6.94,-0.14%
01-10-2024,6.96,6.95,6.98,6.95,0.00%
01-09-2024,6.96,6.95,6.97,6.94,0.14%
01-08-2024,6.95,6.94,6.97,6.94,0.29%
01-05-2024,6.93,6.95,6.97,6.93,-0.43%
01-04-2024,6.96,6.95,6.97,6.95,0.43%
01-03-2024,6.93,6.92,6.96,6.89,0.00%
01-02-2024,6.93,6.95,6.96,6.9,-0.14%
01-01-2024,6.94,6.97,6.97,6.93,0.58%
12/29/2023,6.9,6.96,6.96,6.9,-0.86%
12/28/2023,6.96,6.96,6.97,6.94,-0.14%
12/27/2023,6.97,6.96,7,6.95,-0.29%
12/26/2023,6.99,6.96,6.99,6.95,0.29%
12/22/2023,6.97,6.95,6.97,6.95,0.14%
12/21/2023,6.96,6.97,6.97,6.95,-0.29%
12/20/2023,6.98,6.96,6.98,6.96,0.43%
12/19/2023,6.95,6.95,6.96,6.92,0.29%
12/18/2023,6.93,6.94,6.97,6.92,0.58%
12/15/2023,6.89,6.97,6.98,6.89,-1.43%
12/14/2023,6.99,6.99,7,6.94,0.29%
12/13/2023,6.97,6.95,6.98,6.95,0.00%
12-12-2023,6.97,6.96,6.98,6.95,0.29%
12-11-2023,6.95,6.95,6.98,6.95,-0.29%
12-08-2023,6.97,6.97,6.98,6.96,-0.14%
12-07-2023,6.98,6.98,6.98,6.97,0.14%
12-06-2023,6.97,6.98,6.99,6.97,-0.14%
12-05-2023,6.98,6.96,7,6.96,0.00%
12-04-2023,6.98,6.99,6.99,6.96,0.00%
12-01-2023,6.98,6.98,7,6.96,-0.14%
11/30/2023,6.99,6.99,6.99,6.97,0.14%
11/29/2023,6.98,6.97,6.98,6.94,0.43%
11/28/2023,6.95,6.94,6.97,6.94,0.00%
11/24/2023,6.95,6.96,6.97,6.94,0.00%
11/23/2023,6.95,6.96,6.98,6.94,0.14%
11/22/2023,6.94,6.94,6.95,6.93,-0.14%
11/21/2023,6.95,6.93,6.95,6.92,0.00%
11/20/2023,6.95,6.93,6.95,6.92,0.29%
11/17/2023,6.93,6.93,6.95,6.92,0.00%
11/16/2023,6.93,6.95,6.96,6.92,0.00%
11/15/2023,6.93,6.94,6.95,6.91,-0.14%
11/13/2023,6.94,6.94,6.95,6.92,0.00%
11-10-2023,6.94,6.95,6.95,6.93,0.00%
11-09-2023,6.94,6.94,6.95,6.93,0.14%
11-08-2023,6.93,6.96,6.96,6.93,0.00%
11-07-2023,6.93,6.92,6.95,6.92,0.00%
11-06-2023,6.93,6.92,6.96,6.9,-0.29%
11-03-2023,6.95,6.93,6.95,6.9,0.00%
11-02-2023,6.95,6.95,6.95,6.92,0.29%
11-01-2023,6.93,6.95,6.95,6.92,-0.14%
10/31/2023,6.94,6.92,6.95,6.92,0.29%
10/30/2023,6.92,6.92,6.95,6.92,-0.43%
10/27/2023,6.95,6.92,6.95,6.92,0.29%
10/26/2023,6.93,6.95,6.96,6.92,0.00%
10/25/2023,6.93,6.93,6.94,6.92,0.00%
10/23/2023,6.93,6.93,6.95,6.93,0.00%
10/20/2023,6.93,6.92,6.95,6.91,0.00%
10/19/2023,6.93,6.9,6.94,6.89,0.58%
10/18/2023,6.89,6.89,6.9,6.87,0.15%
10/17/2023,6.88,6.89,6.9,6.88,0.00%
10/16/2023,6.88,6.89,6.9,6.88,-0.29%
10/13/2023,6.9,6.9,6.91,6.87,0.00%
10-12-2023,6.9,6.9,6.9,6.89,0.15%
10-11-2023,6.89,6.87,6.89,6.86,0.15%
10-10-2023,6.88,6.88,6.89,6.87,-0.15%
