Date,Nifty Current Price,Change In Nifty Price(%),FII Future Net Buying(Cr),FII Index Future OI(K),FII Index OI Change(K),FII Cash Buying(Cr),Cumulative Cash Buying FII(Cr)
25-Sep-23,19674.55,0.0,-1466.0,-3.5,-15.6,-2333.0,-321170
22-Sep-23,19674.25,-0.34,-1124.0,12.1,-10.5,-1327.0,-318837
21-Sep-23,19742.35,-0.8,-880.0,22.6,-11.3,-3007.0,-317510
20-Sep-23,19901.4,-1.15,-2182.0,33.9,-25.1,-3111.0,-314503
18-Sep-23,20133.3,-0.29,-331.0,59.0,-3,-1237.0,-311392
15-Sep-23,20192.35,0.44,280.0,62.0,+3.2,164.0,-310155
14-Sep-23,20103.1,0.16,-186.0,58.8,-1.7,295.0,-310319
13-Sep-23,20070.0,0.38,1269.0,60.6,+14.4,-1632.0,-310614
12-Sep-23,19993.2,-0.02,1106.0,46.1,+11.1,-1047.0,-308982
11-Sep-23,19996.35,0.89,788.0,35.1,+8.5,1473.0,-307935
08-Sep-23,19819.95,0.47,407.0,26.5,+4.6,-224.0,-309408
07-Sep-23,19727.05,0.59,1367.0,21.9,+17.5,-759.0,-309184
06-Sep-23,19611.05,0.18,-33.0,4.5,-2.9,-3246.0,-308425
05-Sep-23,19574.9,0.24,269.0,7.4,+1.8,-1725.0,-305179
04-Sep-23,19528.8,0.48,150.0,5.6,+2.4,-3368.0,-303454
01-Sep-23,19435.3,0.94,99.0,3.2,+1.5,488.0,-300086
31-Aug-23,19253.8,-0.48,-2490.0,1.7,+25.8,-2973.0,-300574
30-Aug-23,19347.45,0.02,-13.0,-24.1,-1.3,-495.0,-297601
29-Aug-23,19342.65,0.19,559.0,-22.8,+8.1,62.0,-297106
28-Aug-23,19306.05,0.21,674.0,-31.0,+8.1,-1393.0,-297168
25-Aug-23,19265.8,-0.62,-1264.0,-39.1,-14.9,-4638.0,-295775
24-Aug-23,19386.7,-0.29,-439.0,-24.2,-5.7,1525.0,-291137
23-Aug-23,19444.0,0.25,505.0,-18.5,+9.6,614.0,-292662
22-Aug-23,19396.45,0.01,-49.0,-28.1,-0.6,-495.0,-293276
21-Aug-23,19393.6,0.43,212.0,-27.5,+2.8,-1901.0,-292781
18-Aug-23,19310.15,-0.28,1071.0,-30.3,+11.5,-267.0,-290880
17-Aug-23,19365.25,-0.51,-216.0,-41.8,-0.5,-1511.0,-290613
16-Aug-23,19465.0,0.16,221.0,-41.2,+0.9,723.0,-289102
14-Aug-23,19434.55,0.03,-440.0,-42.1,-5.8,-2324.0,-289825
11-Aug-23,19428.3,-0.59,-100.0,-36.3,-2.7,-3073.0,-287501
10-Aug-23,19543.1,-0.46,-1162.0,-33.6,-15,331.0,-284428
09-Aug-23,19632.55,0.32,-323.0,-18.6,-6.1,644.0,-284759
08-Aug-23,19570.85,-0.13,424.0,-12.6,+6.2,-711.0,-285403
07-Aug-23,19597.3,0.41,636.0,-18.7,+6.9,-1893.0,-284692
04-Aug-23,19517.0,0.7,1105.0,-25.6,+15,-556.0,-282799
03-Aug-23,19381.65,-0.74,-3442.0,-40.6,-36.3,-317.0,-282243
02-Aug-23,19526.55,-1.05,-860.0,-4.3,-9.8,-1878.0,-281926
01-Aug-23,19733.55,-0.1,-45.0,5.4,-0.2,-93.0,-280048
31-Jul-23,19753.8,0.55,-731.0,5.7,-8.1,-701.0,-279955
28-Jul-23,19646.05,-0.07,-1802.0,13.8,-19.4,-1024.0,-279254
27-Jul-23,19659.9,-0.6,-3090.0,33.2,-51.7,-3979.0,-278230
26-Jul-23,19778.3,0.5,381.0,84.9,+4.7,923.0,-274251
25-Jul-23,19680.6,0.04,-1060.0,80.2,-11,1089.0,-275174
24-Jul-23,19672.35,-0.37,316.0,91.2,+2.4,-83.0,-276263
21-Jul-23,19745.0,-1.17,-1415.0,88.7,-15.6,-1999.0,-276180
20-Jul-23,19979.15,0.74,996.0,104.3,+11.1,3371.0,-274181
19-Jul-23,19833.15,0.42,-460.0,93.2,-3.5,1165.0,-277552
18-Jul-23,19749.25,0.19,501.0,96.7,+5.6,2116.0,-278717
17-Jul-23,19711.45,0.75,218.0,91.1,+2.5,73.0,-280833
14-Jul-23,19564.5,0.78,252.0,88.6,+2.1,2636.0,-280906
13-Jul-23,19413.75,0.15,-907.0,86.5,-9.6,2238.0,-283542
12-Jul-23,19384.3,-0.28,75.0,96.0,+1.4,-1242.0,-285780
11-Jul-23,19439.4,0.43,153.0,94.6,0,1197.0,-284538
10-Jul-23,19355.9,0.12,321.0,94.6,+3,588.0,-285735
07-Jul-23,19331.8,-0.85,-975.0,91.6,-11.2,790.0,-286323
06-Jul-23,19497.3,0.51,780.0,102.8,+8.5,2641.0,-287113
05-Jul-23,19398.5,0.05,463.0,94.4,+4.6,1603.0,-289754
04-Jul-23,19389.0,0.34,1173.0,89.8,+12.4,2134.0,-291357
03-Jul-23,19322.55,0.7,434.0,77.4,+5,1996.0,-293491
30-Jun-23,19189.05,1.14,1540.0,72.4,+16.3,6397.0,-295487
28-Jun-23,18972.1,0.82,-848.0,56.1,+9.2,12350.0,-301884
27-Jun-23,18817.4,0.68,2861.0,46.9,+35.5,2024.0,-314234
26-Jun-23,18691.2,0.14,263.0,11.4,+2,-409.0,-316258
23-Jun-23,18665.5,-0.56,-248.0,9.4,-2.8,-345.0,-315849
22-Jun-23,18771.25,-0.45,325.0,12.2,+3.2,-693.0,-315504
21-Jun-23,18856.85,0.21,212.0,9.0,+2,4013.0,-314811
20-Jun-23,18816.7,0.33,370.0,7.0,+2.8,-1943.0,-318824
19-Jun-23,18755.45,-0.37,-1325.0,4.2,-14.2,-1031.0,-316881
16-Jun-23,18826.0,0.74,1181.0,18.4,+12.6,795.0,-315850
15-Jun-23,18688.1,-0.36,-746.0,5.8,-6.7,3086.0,-316645
14-Jun-23,18755.9,0.21,758.0,12.5,+8.2,1715.0,-319731
13-Jun-23,18716.15,0.62,615.0,4.3,+6.4,1678.0,-321446
12-Jun-23,18601.5,0.21,969.0,-2.1,+10.5,-627.0,-323124
09-Jun-23,18563.4,-0.38,-618.0,-12.6,-6.5,-309.0,-322497
08-Jun-23,18634.55,-0.49,-442.0,-6.0,-4.5,212.0,-322188
07-Jun-23,18726.4,0.68,806.0,-1.5,+8.6,1383.0,-322400
06-Jun-23,18599.0,0.03,-920.0,-10.1,-10.5,386.0,-323783
05-Jun-23,18593.85,0.32,746.0,0.4,+7.4,-701.0,-324169
02-Jun-23,18534.1,0.25,476.0,-7.1,+5,-659.0,-323468
01-Jun-23,18487.75,-0.25,-2183.0,-12.1,-22.7,-71.0,-322809
31-May-23,18534.4,-0.53,-2027.0,10.6,-21.8,3406.0,-322738
30-May-23,18633.85,0.19,241.0,32.4,+2.8,2086.0,-326144
29-May-23,18598.65,0.54,-162.0,29.6,-2.3,1758.0,-328230
26-May-23,18499.35,0.97,1185.0,31.9,+13.1,350.0,-329988
25-May-23,18321.15,0.2,-988.0,18.8,+23,589.0,-330338
24-May-23,18285.4,-0.34,-458.0,-4.2,-4.4,1186.0,-330927
23-May-23,18348.0,0.18,820.0,0.2,+8.4,183.0,-332113
22-May-23,18314.4,0.61,39.0,-8.3,+1.6,923.0,-332296
19-May-23,18203.4,0.41,-565.0,-9.9,-6,-113.0,-333219
18-May-23,18129.95,-0.28,656.0,-3.9,+6.6,970.0,-333106
17-May-23,18181.75,-0.57,-530.0,-10.5,-6.2,149.0,-334076
16-May-23,18286.5,-0.61,-347.0,-4.3,-3.9,1407.0,-334225
15-May-23,18398.85,0.46,1290.0,-0.4,+14,1685.0,-335632
12-May-23,18314.8,0.1,-245.0,-14.4,-3.4,1014.0,-337317
11-May-23,18297.0,-0.1,-669.0,-11.0,-6.8,837.0,-338331
10-May-23,18315.1,0.27,321.0,-4.2,+3.5,1833.0,-339168
09-May-23,18265.95,0.01,-516.0,-7.7,-5.2,1942.0,-341001
08-May-23,18264.4,1.08,1307.0,-2.5,+13.3,2124.0,-342943
05-May-23,18069.0,-1.02,-804.0,-15.8,-7.7,778.0,-345067
04-May-23,18255.8,0.92,415.0,-8.1,+4.4,1415.0,-345845
03-May-23,18089.85,-0.32,-1452.0,-12.5,-16,1338.0,-347260
02-May-23,18147.65,0.46,1983.0,3.5,+21.7,1997.0,-348598
28-Apr-23,18065.0,0.84,184.0,-18.3,+1.8,3304.0,-350595
27-Apr-23,17915.05,0.57,-305.0,-20.0,-7.2,1653.0,-353899
26-Apr-23,17813.6,0.25,54.0,-12.8,+0.6,1257.0,-355552
25-Apr-23,17769.25,0.15,527.0,-13.4,+5.9,-407.0,-356809
24-Apr-23,17743.4,0.68,1113.0,-19.3,+12.2,-412.0,-356402
21-Apr-23,17624.05,0.0,105.0,-31.5,+2.3,-2117.0,-355990
20-Apr-23,17624.45,0.03,476.0,-33.8,+4.9,-1169.0,-353873
19-Apr-23,17618.75,-0.23,-292.0,-38.7,-3.1,-13.0,-352704
18-Apr-23,17660.15,-0.26,72.0,-35.7,+0.4,-811.0,-352691
17-Apr-23,17706.85,-0.68,-747.0,-36.1,-7.4,-533.0,-351880
13-Apr-23,17828.0,0.09,1250.0,-28.7,+13.3,222.0,-351347
12-Apr-23,17812.4,0.51,1674.0,-42.0,+18.7,1908.0,-351569
11-Apr-23,17722.3,0.56,2193.0,-60.7,+24.4,343.0,-353477
10-Apr-23,17624.05,0.14,1849.0,-85.1,+21.1,883.0,-353820
06-Apr-23,17599.15,0.24,291.0,-106.3,+3,476.0,-354703
05-Apr-23,17557.05,0.91,2789.0,-109.3,+31.3,807.0,-355179
03-Apr-23,17398.05,0.22,-512.0,-140.6,-5.6,322.0,-355986
31-Mar-23,17359.75,1.63,267.0,-135.1,+3.6,358.0,-356308
29-Mar-23,17080.7,0.76,2027.0,-138.7,+17.7,1245.0,-356666
