,placed_by,order_id,exchange_order_id,parent_order_id,status,status_message,status_message_raw,order_timestamp,exchange_update_timestamp,exchange_timestamp,variety,modified,exchange,tradingsymbol,instrument_token,order_type,transaction_type,validity,validity_ttl,product,quantity,disclosed_quantity,price,trigger_price,average_price,filled_quantity,pending_quantity,cancelled_quantity,market_protection,meta,tag,tags,guid
0,CHV541,231018601949508,1E+15,,CANCELLED,,,18-10-2023 13:05,18-10-2023 13:05,18-10-2023 13:05,regular,FALSE,NFO,NIFTY23O1919500CE,11379714,LIMIT,BUY,DAY,0,MIS,50,0,220,0,0,0,50,50,0,{},TradeViaPython,['TradeViaPython'],01Xn5Z2YpvHh5on
1,CHV541,231018601957048,1E+15,,CANCELLED,,,18-10-2023 13:06,18-10-2023 13:06,18-10-2023 13:06,regular,FALSE,NFO,NIFTY23O1919500CE,11379714,LIMIT,BUY,DAY,0,NRML,50,0,220,0,0,0,50,50,0,{},TradeViaPython,['TradeViaPython'],01XMrNDCOyLGVB2
2,CHV541,231018601988364,1E+15,,COMPLETE,,,18-10-2023 13:13,18-10-2023 13:13,18-10-2023 13:13,regular,FALSE,NFO,NIFTY23O1919500CE,11379714,MARKET,BUY,DAY,0,NRML,50,0,0,0,229.5,50,0,0,0,{},TradeViaPython,['TradeViaPython'],01XxS0E6FwmSjtm
3,CHV541,231018601993797,1E+15,,COMPLETE,,,18-10-2023 13:14,18-10-2023 13:14,18-10-2023 13:14,regular,FALSE,NFO,NIFTY23O1919500CE,11379714,MARKET,SELL,DAY,0,NRML,50,0,0,0,231.8,50,0,0,0,{},,,19Xuchiisinyozu
4,CHV541,231018602014592,1E+15,,COMPLETE,,,18-10-2023 13:18,18-10-2023 13:18,18-10-2023 13:18,regular,FALSE,NFO,NIFTY23O1919750CE,11382274,MARKET,SELL,DAY,0,MIS,50,0,0,0,43.3,50,0,0,0,{},,,01XMh7ALe3PgFML
5,CHV541,231018602017995,1E+15,,COMPLETE,,,18-10-2023 13:19,18-10-2023 13:19,18-10-2023 13:19,regular,FALSE,NFO,NIFTY23O1919750CE,11382274,MARKET,BUY,DAY,0,MIS,50,0,0,0,42.35,50,0,0,0,{},,,01XsUhmIGHJ5VIR
6,CHV541,231018602058279,1E+15,,COMPLETE,,,18-10-2023 13:26,18-10-2023 13:26,18-10-2023 13:26,regular,FALSE,NFO,NIFTY23O1919750CE,11382274,MARKET,SELL,DAY,0,NRML,50,0,0,0,42.3,50,0,0,0,{},TradeViaPython,['TradeViaPython'],01XZxF7DpQjgxEo
7,CHV541,231018602061878,1E+15,,COMPLETE,,,18-10-2023 13:27,18-10-2023 13:27,18-10-2023 13:27,regular,FALSE,NFO,NIFTY23O1920350CE,11389442,MARKET,BUY,DAY,0,NRML,50,0,0,0,1.2,50,0,0,0,{},TradeViaPython,['TradeViaPython'],01XrWEG8RzqsJNn
8,CHV541,231018602084485,1E+15,,COMPLETE,,,18-10-2023 13:33,18-10-2023 13:33,18-10-2023 13:33,regular,FALSE,NFO,NIFTY23O1920350CE,11389442,MARKET,SELL,DAY,0,NRML,50,0,0,0,1.15,50,0,0,0,{},,,01Xo17L5oFDzwd7
9,CHV541,231018602084928,1E+15,,COMPLETE,,,18-10-2023 13:33,18-10-2023 13:33,18-10-2023 13:33,regular,FALSE,NFO,NIFTY23O1919750CE,11382274,MARKET,BUY,DAY,0,NRML,50,0,0,0,40.05,50,0,0,0,{},,,01XlYF2n6YUgVph
