Datetime,close CE,volume CE,oi CE,COI CE,COP CE,Conclusion CE,close PE,volume PE,oi PE,COI PE,COP PE,Conclusion PE,Bullishness CE,Bullishness PE,Over All Bullishness,Cumulative Bullishness,LB CE,SB CE,LC CE,SC CE,LB PE,SB PE,LC PE,SC PE,Net_SB_call,Net_SB_put,Cumulative SB call,Cumulative SB put
29-01: 09:15,100.9,3100.0,24050.0,850.0,24.0,LB,629.8,0.0,3000.0,0,0.0,0,0.0,0.0,0.0,0,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
29-01: 09:17,99.15,5050.0,24400.0,350.0,-1.75,SB,629.8,0.0,3000.0,0,0.0,0,-350.0,0.0,-350.0,-350,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,350,0
29-01: 09:20,112.4,2350.0,24850.0,450.0,13.25,LB,629.8,0.0,3000.0,0,0.0,0,0.0,0.0,0.0,-350,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350,0
29-01: 09:23,118.0,1850.0,23150.0,-1700.0,5.599999999999994,SC,629.8,0.0,3000.0,0,0.0,0,1700.0,0.0,1700.0,1350,0.0,0.0,0.0,-1700.0,0.0,0.0,0.0,0.0,-1700.0,0.0,-1350,0
29-01: 09:26,133.45,3200.0,20000.0,-3150.0,15.449999999999989,SC,629.8,0.0,3000.0,0,0.0,0,3150.0,0.0,3150.0,4500,0.0,0.0,0.0,-3150.0,0.0,0.0,0.0,0.0,-3150.0,0.0,-4500,0
29-01: 09:29,132.8,3400.0,19450.0,-550.0,-0.6499999999999773,LC,629.8,0.0,3000.0,0,0.0,0,-0.0,0.0,0.0,4500,0.0,0.0,-550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4500,0
29-01: 09:32,123.0,3500.0,21300.0,1850.0,-9.800000000000011,SB,439.1,100.0,3000.0,0,-190.69999999999996,0,-1850.0,0.0,-1850.0,2650,0.0,1850.0,0.0,0.0,0.0,0.0,0.0,0.0,1850.0,0.0,-2650,0
29-01: 09:35,131.15,1950.0,22050.0,750.0,8.150000000000006,LB,428.55,800.0,3000.0,0,-10.550000000000011,0,0.0,0.0,0.0,2650,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2650,0
29-01: 09:36,129.05,800.0,22050.0,0.0,-2.0999999999999943,0,437.9,400.0,5650.0,2650,9.349999999999966,LB,0.0,0.0,0.0,2650,0.0,0.0,0.0,0.0,2650.0,0.0,0.0,0.0,0.0,0.0,-2650,0
29-01: 09:38,130.45,2550.0,22150.0,100.0,1.3999999999999773,LB,441.05,350.0,6500.0,850,3.150000000000034,LB,0.0,0.0,0.0,2650,100.0,0.0,0.0,0.0,850.0,0.0,0.0,0.0,0.0,0.0,-2650,0
29-01: 09:41,135.25,1300.0,21550.0,-600.0,4.800000000000011,SC,422.7,100.0,8100.0,1600,-18.350000000000023,SB,600.0,1600.0,2200.0,4850,0.0,0.0,0.0,-600.0,0.0,1600.0,0.0,0.0,-600.0,1600.0,-3250,1600
29-01: 09:44,132.9,800.0,21550.0,0.0,-2.3499999999999943,0,433.35,100.0,8200.0,100,10.650000000000034,LB,0.0,0.0,0.0,4850,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,-3250,1600
29-01: 09:48,131.8,4900.0,22550.0,1000.0,-1.0999999999999943,SB,433.35,0.0,8200.0,0,0.0,0,-1000.0,0.0,-1000.0,3850,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,-2250,1600
29-01: 09:49,131.2,2350.0,22550.0,0.0,-0.6000000000000227,0,432.4,250.0,8300.0,100,-0.9500000000000456,SB,0.0,100.0,100.0,3950,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,-2250,1700
29-01: 09:50,132.8,1050.0,24300.0,1750.0,1.6000000000000227,LB,429.8,50.0,8550.0,250,-2.599999999999966,SB,0.0,250.0,250.0,4200,1750.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,250.0,-2250,1950
29-01: 09:53,128.5,550.0,24600.0,300.0,-4.300000000000011,SB,429.8,0.0,8550.0,0,0.0,0,-300.0,0.0,-300.0,3900,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,-1950,1950
29-01: 09:56,132.15,200.0,24700.0,100.0,3.6500000000000057,LB,429.8,0.0,8550.0,0,0.0,0,0.0,0.0,0.0,3900,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1950,1950
29-01: 09:59,148.75,1450.0,23900.0,-800.0,16.599999999999994,SC,390.3,100.0,8650.0,100,-39.5,SB,800.0,100.0,900.0,4800,0.0,0.0,0.0,-800.0,0.0,100.0,0.0,0.0,-800.0,100.0,-2750,2050
29-01: 10:02,148.6,2050.0,25550.0,1650.0,-0.1500000000000056,SB,391.0,250.0,9000.0,350,0.6999999999999886,LB,-1650.0,0.0,-1650.0,3150,0.0,1650.0,0.0,0.0,350.0,0.0,0.0,0.0,1650.0,0.0,-1100,2050
29-01: 10:05,143.45,450.0,25850.0,300.0,-5.150000000000006,SB,392.55,0.0,9000.0,0,1.5500000000000114,0,-300.0,0.0,-300.0,2850,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,-800,2050
29-01: 10:07,141.4,750.0,25850.0,0.0,-2.049999999999983,0,395.6,100.0,9850.0,850,3.050000000000012,LB,0.0,0.0,0.0,2850,0.0,0.0,0.0,0.0,850.0,0.0,0.0,0.0,0.0,0.0,-800,2050
29-01: 10:08,141.0,50.0,25700.0,-150.0,-0.4000000000000057,LC,395.6,0.0,9850.0,0,0.0,0,-0.0,0.0,0.0,2850,0.0,0.0,-150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-800,2050
29-01: 10:11,142.45,900.0,28300.0,2600.0,1.4499999999999886,LB,405.0,0.0,9850.0,0,9.399999999999975,0,0.0,0.0,0.0,2850,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-800,2050
