Date,Time,close CE,volume CE,oi CE,COI CE,COP CE,Conclusion CE,close PE,volume PE,oi PE,COI PE,COP PE,Conclusion PE,Bullishness CE,Bullishness PE,Over All Bullishness,Cumulative Bullishness,LB CE,SB CE,LC CE,SC CE,LB PE,SB PE,LC PE,SC PE,Net_SB_call,Net_SB_put,Cumulative SB call,Cumulative SB put
2024-02-09,09:15,125.75,256500,702900,-1350,-24.25,LC,234.4,60250,413850,-3750,22.25,SC,-0.0,-3750.0,-3750.0,-3750,0.0,0.0,-1350.0,0.0,0.0,0.0,0.0,-3750.0,0.0,-3750.0,0,-3750
2024-02-09,09:16,121.0,134000,755500,52600,-4.75,SB,235.65,54550,437250,23400,1.25,LB,-52600.0,0.0,-52600.0,-56350,0.0,52600.0,0.0,0.0,23400.0,0.0,0.0,0.0,52600.0,0.0,52600,-3750
2024-02-09,09:19,119.9,155000,881000,125500,-1.0999999999999943,SB,241.9,38750,467250,30000,6.25,LB,-125500.0,0.0,-125500.0,-181850,0.0,125500.0,0.0,0.0,30000.0,0.0,0.0,0.0,125500.0,0.0,178100,-3750
2024-02-09,09:22,138.1,185400,939600,58600,18.19999999999999,LB,213.65,82600,502900,35650,-28.25,SB,0.0,35650.0,35650.0,-146200,58600.0,0.0,0.0,0.0,0.0,35650.0,0.0,0.0,0.0,35650.0,178100,31900
2024-02-09,09:25,138.6,192850,946350,6750,0.5,LB,216.6,58150,520650,17750,2.9499999999999886,LB,0.0,0.0,0.0,-146200,6750.0,0.0,0.0,0.0,17750.0,0.0,0.0,0.0,0.0,0.0,178100,31900
2024-02-09,09:28,150.15,369450,1014400,68050,11.550000000000011,LB,200.6,66450,532350,11700,-16.0,SB,0.0,11700.0,11700.0,-134500,68050.0,0.0,0.0,0.0,0.0,11700.0,0.0,0.0,0.0,11700.0,178100,43600
2024-02-09,09:31,141.05,138900,1025400,11000,-9.099999999999994,SB,208.35,103600,546950,14600,7.75,LB,-11000.0,0.0,-11000.0,-145500,0.0,11000.0,0.0,0.0,14600.0,0.0,0.0,0.0,11000.0,0.0,189100,43600
2024-02-09,09:34,140.0,82650,1040950,15550,-1.0500000000000114,SB,208.45,70500,548050,1100,0.0999999999999943,LB,-15550.0,0.0,-15550.0,-161050,0.0,15550.0,0.0,0.0,1100.0,0.0,0.0,0.0,15550.0,0.0,204650,43600
2024-02-09,09:37,135.55,155700,1073300,32350,-4.449999999999989,SB,215.0,65250,578000,29950,6.550000000000011,LB,-32350.0,0.0,-32350.0,-193400,0.0,32350.0,0.0,0.0,29950.0,0.0,0.0,0.0,32350.0,0.0,237000,43600
2024-02-09,09:40,130.6,229950,1110450,37150,-4.950000000000017,SB,223.85,110200,596150,18150,8.849999999999994,LB,-37150.0,0.0,-37150.0,-230550,0.0,37150.0,0.0,0.0,18150.0,0.0,0.0,0.0,37150.0,0.0,274150,43600
2024-02-09,09:43,135.55,79500,1113550,3100,4.950000000000017,LB,217.15,27500,601550,5400,-6.699999999999989,SB,0.0,5400.0,5400.0,-225150,3100.0,0.0,0.0,0.0,0.0,5400.0,0.0,0.0,0.0,5400.0,274150,49000
2024-02-09,09:46,133.15,87850,1135850,22300,-2.4000000000000057,SB,216.2,51750,624650,23100,-0.950000000000017,SB,-22300.0,23100.0,800.0,-224350,0.0,22300.0,0.0,0.0,0.0,23100.0,0.0,0.0,22300.0,23100.0,296450,72100
2024-02-09,09:49,125.75,82800,1150500,14650,-7.400000000000006,SB,229.6,37050,624700,50,13.400000000000006,LB,-14650.0,0.0,-14650.0,-239000,0.0,14650.0,0.0,0.0,50.0,0.0,0.0,0.0,14650.0,0.0,311100,72100
2024-02-09,09:52,121.3,115800,1152700,2200,-4.450000000000003,SB,238.9,54050,615000,-9700,9.300000000000011,SC,-2200.0,-9700.0,-11900.0,-250900,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,-9700.0,2200.0,-9700.0,313300,62400
2024-02-09,09:55,115.95,122600,1166850,14150,-5.349999999999994,SB,251.6,62200,607150,-7850,12.699999999999989,SC,-14150.0,-7850.0,-22000.0,-272900,0.0,14150.0,0.0,0.0,0.0,0.0,0.0,-7850.0,14150.0,-7850.0,327450,54550
2024-02-09,09:58,114.75,86600,1194550,27700,-1.2000000000000028,SB,255.55,26400,607550,400,3.950000000000017,LB,-27700.0,0.0,-27700.0,-300600,0.0,27700.0,0.0,0.0,400.0,0.0,0.0,0.0,27700.0,0.0,355150,54550
2024-02-09,10:01,110.05,240500,1177250,-17300,-4.700000000000003,LC,269.65,63250,626650,19100,14.099999999999966,LB,-0.0,0.0,0.0,-300600,0.0,0.0,-17300.0,0.0,19100.0,0.0,0.0,0.0,0.0,0.0,355150,54550
