FII,BUY_No. of contracts,SELL_No. of contracts,OPEN INTEREST AT THE END OF THE DAY,Total_Contracts
INDEX FUTURES,24858,28298,186061,53156
FINNIFTY FUTURES,28,28,53,56
BANKNIFTY FUTURES,11735,7902,41691,19637
MIDCPNIFTY FUTURES,0,0,0,0
NIFTY FUTURES,13095,20368,144317,33463
0,0,0,0,0
INDEX OPTIONS,9091551,9104440,2785689,18195991
NIFTY OPTIONS,2922162,2964196,1445403,5886358
FINNIFTY OPTIONS,753295,774961,380072,1528256
MIDCPNIFTY OPTIONS,0,0,0,0
BANKNIFTY OPTIONS,5416094,5365283,960214,10781377
0,0,0,0,0
STOCK FUTURES,174457,177731,2333892,352188
0,0,0,0,0
STOCK OPTIONS,242835,243010,248567,485845
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
Notes:,0,0,0,0
0,0,0,0,0
Both buy and sell positions have been considered,0,0,0,0
Options Value (Buy/Sell) = Strike price * Qty,0,0,0,0
Futures Value (Buy/Sell) = Traded Price * Qty,0,0,0,0
0,0,0,0,0
Value & Open Interest at the end of day:,0,0,0,0
Options Value (End of day) = Underlying Close Price * Qty,0,0,0,0
Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),0,0,0,0
